target_variable,target_class,target_class_label,layer,name,importance,explainer
Erlotinib,0,,cnv,UCKL1,3.729432e-05,IntegratedGradients
Erlotinib,0,,cnv,PDRG1,2.5906958e-05,IntegratedGradients
Erlotinib,0,,cnv,ZNF512B,3.8529713e-05,IntegratedGradients
Erlotinib,0,,cnv,PRPF6,3.6499154e-05,IntegratedGradients
Erlotinib,0,,cnv,SAMD10,3.1732794e-05,IntegratedGradients
Erlotinib,0,,cnv,DACT1,3.309251e-05,IntegratedGradients
Erlotinib,0,,cnv,C20orf197,2.7784496e-05,IntegratedGradients
Erlotinib,0,,cnv,CCT3,2.5669608e-05,IntegratedGradients
Erlotinib,0,,cnv,VHLL,2.608773e-05,IntegratedGradients
Erlotinib,0,,cnv,TMEM79,2.71716e-05,IntegratedGradients
Erlotinib,0,,cnv,GLMP,2.3572082e-05,IntegratedGradients
Erlotinib,0,,cnv,OR2F2,3.2985063e-05,IntegratedGradients
Erlotinib,0,,cnv,KAT5,4.610765e-05,IntegratedGradients
Erlotinib,0,,cnv,TSACC,2.2044405e-05,IntegratedGradients
Erlotinib,0,,cnv,DAAM1,3.9220857e-05,IntegratedGradients
Erlotinib,0,,cnv,LINC00659,3.3615448e-05,IntegratedGradients
Erlotinib,0,,cnv,C1orf61,2.5577276e-05,IntegratedGradients
Erlotinib,0,,cnv,STRA8,3.499625e-05,IntegratedGradients
Erlotinib,0,,cnv,MIR9-1,2.3040904e-05,IntegratedGradients
Erlotinib,0,,cnv,AKR1B1,3.2523483e-05,IntegratedGradients
Erlotinib,0,,cnv,OR2A5,3.992463e-05,IntegratedGradients
Erlotinib,0,,cnv,DIDO1,3.642516e-05,IntegratedGradients
Erlotinib,0,,cnv,TTLL9,2.3461613e-05,IntegratedGradients
Erlotinib,0,,cnv,COL9A3,3.1753007e-05,IntegratedGradients
Erlotinib,0,,cnv,TCFL5,3.0859665e-05,IntegratedGradients
Erlotinib,0,,cnv,DPH3P1,3.6832003e-05,IntegratedGradients
Erlotinib,0,,cnv,FOXS1,3.102234e-05,IntegratedGradients
Erlotinib,0,,cnv,DUSP15,2.5378082e-05,IntegratedGradients
Erlotinib,0,,cnv,RHBG,2.6263724e-05,IntegratedGradients
Erlotinib,0,,cnv,MIR4533,2.8448547e-05,IntegratedGradients
Erlotinib,0,,cnv,LINC00029,3.122206e-05,IntegratedGradients
Erlotinib,0,,cnv,LINC01056,2.9300834e-05,IntegratedGradients
Erlotinib,0,,cnv,LINC01749,3.4532277e-05,IntegratedGradients
Erlotinib,0,,cnv,OGFR,3.578403e-05,IntegratedGradients
Erlotinib,0,,cnv,OGFR-AS1,3.618774e-05,IntegratedGradients
Erlotinib,0,,cnv,MRGBP,3.631062e-05,IntegratedGradients
Erlotinib,0,,cnv,MPP6,2.659536e-05,IntegratedGradients
Erlotinib,0,,cnv,WDR91,3.0188572e-05,IntegratedGradients
Erlotinib,0,,cnv,RCOR1,2.6235204e-05,IntegratedGradients
Erlotinib,0,,cnv,TRAF3,2.6897673e-05,IntegratedGradients
Erlotinib,0,,cnv,PLXNA4,4.58851e-05,IntegratedGradients
Erlotinib,0,,cnv,AP5B1,5.1991086e-05,IntegratedGradients
Erlotinib,0,,cnv,CBFA2T2,2.0118852e-05,IntegratedGradients
Erlotinib,0,,cnv,OR6V1,3.6389567e-05,IntegratedGradients
Erlotinib,0,,cnv,OR6W1P,3.9944072e-05,IntegratedGradients
Erlotinib,0,,cnv,PTGIS,2.537e-05,IntegratedGradients
Erlotinib,0,,cnv,TMEM140,3.830819e-05,IntegratedGradients
Erlotinib,0,,cnv,CCT6P3,4.029763e-05,IntegratedGradients
Erlotinib,0,,cnv,TRIM9,3.3258348e-05,IntegratedGradients
Erlotinib,0,,cnv,CYREN,3.295566e-05,IntegratedGradients
Erlotinib,0,,cnv,CLCN1,4.3405093e-05,IntegratedGradients
Erlotinib,0,,cnv,C11orf68,4.546458e-05,IntegratedGradients
Erlotinib,0,,cnv,DRAP1,4.6695186e-05,IntegratedGradients
Erlotinib,0,,cnv,IGFBP1,1.948482e-05,IntegratedGradients
Erlotinib,0,,cnv,BPGM,3.221866e-05,IntegratedGradients
Erlotinib,0,,cnv,MIR646HG,2.8820203e-05,IntegratedGradients
Erlotinib,0,,cnv,TSGA10IP,4.341771e-05,IntegratedGradients
Erlotinib,0,,cnv,IGFBP3,2.5436195e-05,IntegratedGradients
Erlotinib,0,,cnv,TAS2R40,3.680903e-05,IntegratedGradients
Erlotinib,0,,cnv,TAS2R41,3.848283e-05,IntegratedGradients
Erlotinib,0,,cnv,SOS2,3.0054613e-05,IntegratedGradients
Erlotinib,0,,cnv,TAS2R60,4.2344782e-05,IntegratedGradients
Erlotinib,0,,cnv,EPHA1-AS1,4.870042e-05,IntegratedGradients
Erlotinib,0,,cnv,EPHA1,4.0644074e-05,IntegratedGradients
Erlotinib,0,,cnv,SSSCA1,4.5902223e-05,IntegratedGradients
Erlotinib,0,,cnv,FAM89B,4.5429206e-05,IntegratedGradients
Erlotinib,0,,cnv,SSSCA1-AS1,4.829015e-05,IntegratedGradients
Erlotinib,0,,cnv,EHBP1L1,4.691029e-05,IntegratedGradients
Erlotinib,0,,cnv,KCNK15,2.2258375e-05,IntegratedGradients
Erlotinib,0,,cnv,RIMS4,1.934854e-05,IntegratedGradients
Erlotinib,0,,cnv,LTBP3,4.713875e-05,IntegratedGradients
Erlotinib,0,,cnv,MYLK2,1.9476842e-05,IntegratedGradients
Erlotinib,0,,cnv,RGS19,3.7091108e-05,IntegratedGradients
Erlotinib,0,,cnv,RD3L,2.8751088e-05,IntegratedGradients
Erlotinib,0,,cnv,SCYL1,4.392219e-05,IntegratedGradients
Erlotinib,0,,cnv,WISP2,2.106685e-05,IntegratedGradients
Erlotinib,0,,cnv,TCEA2,2.9774465e-05,IntegratedGradients
Erlotinib,0,,cnv,SOX18,3.5752557e-05,IntegratedGradients
Erlotinib,0,,cnv,DDHD1,3.6471993e-05,IntegratedGradients
Erlotinib,0,,cnv,FAM131B,4.6081845e-05,IntegratedGradients
Erlotinib,0,,cnv,ZYX,3.9406874e-05,IntegratedGradients
Erlotinib,0,,cnv,B4GALT5,2.413964e-05,IntegratedGradients
Erlotinib,0,,cnv,DMAC2L,3.3485874e-05,IntegratedGradients
Erlotinib,0,,cnv,ERV3-1,2.9937823e-05,IntegratedGradients
Erlotinib,0,,cnv,ZNF117,3.6563535e-05,IntegratedGradients
Erlotinib,0,,cnv,NEAT1,4.4148852e-05,IntegratedGradients
Erlotinib,0,,cnv,MUS81,5.030205e-05,IntegratedGradients
Erlotinib,0,,cnv,EFEMP2,4.465139e-05,IntegratedGradients
Erlotinib,0,,cnv,SART1,4.3349428e-05,IntegratedGradients
Erlotinib,0,,cnv,HOXA10-HOXA9,2.5183599e-05,IntegratedGradients
Erlotinib,0,,cnv,HOXA10,2.166679e-05,IntegratedGradients
Erlotinib,0,,cnv,HOXA11,2.0983509e-05,IntegratedGradients
Erlotinib,0,,cnv,HOXA10-AS,2.1178355e-05,IntegratedGradients
Erlotinib,0,,cnv,HOXA9,2.802759e-05,IntegratedGradients
Erlotinib,0,,cnv,MIR196B,1.9722236e-05,IntegratedGradients
Erlotinib,0,,cnv,POLE2,2.8298287e-05,IntegratedGradients
Erlotinib,0,,cnv,GSDME,2.80631e-05,IntegratedGradients
Erlotinib,0,,cnv,CFL1,3.9056966e-05,IntegratedGradients
Erlotinib,0,,cnv,HOXA1,3.0864474e-05,IntegratedGradients
Erlotinib,0,,cnv,HOXA-AS3,2.734788e-05,IntegratedGradients
Erlotinib,0,,cnv,HOXA2,2.3016471e-05,IntegratedGradients
Erlotinib,0,,cnv,HOXA3,2.1227319e-05,IntegratedGradients
Erlotinib,0,,cnv,HOXA4,2.4553623e-05,IntegratedGradients
Erlotinib,0,,cnv,HOXA7,1.81828e-05,IntegratedGradients
Erlotinib,0,,cnv,HOXA6,2.2619643e-05,IntegratedGradients
Erlotinib,0,,cnv,HOTAIRM1,2.016909e-05,IntegratedGradients
Erlotinib,0,,cnv,HOXA5,2.2199984e-05,IntegratedGradients
Erlotinib,0,,cnv,TMEM139,4.1375173e-05,IntegratedGradients
