,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28
NCI-H2141,0.006739691,0.044151057,-0.6153745,-0.04858665,-0.58440393,-0.04967258,0.27994993,-0.5321434,0.17833507,0.42815447,0.1022158,0.079255804,0.2453313,-0.051414713,-0.5720279,0.7080238,-0.51335657,-0.53468585,-0.14340925,-0.4262933,0.31411722,0.10676126,0.64971083,-0.39790753,-0.6096994,-0.13030541,-0.05571466,0.43487006,0.32415447
NCI-H1395,0.06881668,-0.09943784,-0.501889,-0.10103491,-0.4916916,-0.1134698,0.21278553,-0.54811627,0.23484316,0.65237164,0.3602355,0.31129918,0.3666868,-0.20937295,-0.47459224,0.3819293,-0.38384366,-0.5808237,-0.02806463,-0.44450718,0.4597999,0.09020444,0.5774133,-0.18769135,-0.444723,-0.26240644,-0.054614488,0.46566617,0.66424966
SLR26,0.006739691,0.044151057,-0.6153745,-0.04858665,-0.58440393,-0.04967258,0.27994993,-0.5321434,0.17833507,0.42815447,0.1022158,0.079255804,0.2453313,-0.051414713,-0.5720279,0.7080238,-0.51335657,-0.53468585,-0.14340925,-0.4262933,0.31411722,0.10676126,0.64971083,-0.39790753,-0.6096994,-0.13030541,-0.05571466,0.43487006,0.32415447
TE-1,0.006739691,0.044151057,-0.6153745,-0.04858665,-0.58440393,-0.04967258,0.27994993,-0.5321434,0.17833507,0.42815447,0.1022158,0.079255804,0.2453313,-0.051414713,-0.5720279,0.7080238,-0.51335657,-0.53468585,-0.14340925,-0.4262933,0.31411722,0.10676126,0.64971083,-0.39790753,-0.6096994,-0.13030541,-0.05571466,0.43487006,0.32415447
HSC-3,0.006739691,0.044151057,-0.6153745,-0.04858665,-0.58440393,-0.04967258,0.27994993,-0.5321434,0.17833507,0.42815447,0.1022158,0.079255804,0.2453313,-0.051414713,-0.5720279,0.7080238,-0.51335657,-0.53468585,-0.14340925,-0.4262933,0.31411722,0.10676126,0.64971083,-0.39790753,-0.6096994,-0.13030541,-0.05571466,0.43487006,0.32415447
Hs 746.T,0.11975292,-0.03790697,-0.4466368,-0.18174472,-0.48560953,-0.12685259,0.17963478,-0.49133217,0.32133842,0.5697579,0.26426202,0.24833359,0.47639212,-0.22542214,-0.4201365,0.507775,-0.38433555,-0.55648845,-0.1349378,-0.5473136,0.3473265,0.043475892,0.57308877,-0.20608865,-0.46504796,-0.27863204,-0.02866819,0.40991104,0.54878557
MUTZ-3,0.07389566,-0.020256238,-0.511802,-0.12442674,-0.51959145,-0.098934494,0.21842386,-0.5139891,0.25981143,0.5355561,0.2253502,0.2018297,0.38175118,-0.16472197,-0.47954538,0.5547095,-0.42737478,-0.5530671,-0.120795615,-0.49054262,0.354091,0.072046414,0.5993818,-0.26727054,-0.5101609,-0.22648607,-0.04182752,0.42710692,0.49205405
LS123,0.11975292,-0.03790697,-0.4466368,-0.18174472,-0.48560953,-0.12685259,0.17963478,-0.49133217,0.32133842,0.5697579,0.26426202,0.24833359,0.47639212,-0.22542214,-0.4201365,0.507775,-0.38433555,-0.55648845,-0.1349378,-0.5473136,0.3473265,0.043475892,0.57308877,-0.20608865,-0.46504796,-0.27863204,-0.02866819,0.40991104,0.54878557
DM-3,-0.068560325,-0.26538897,-0.6509062,0.116642565,-0.5080951,-0.07737591,0.30219436,-0.7012652,0.0015621185,0.8751842,0.61907965,0.48111975,0.07080728,-0.16608766,-0.6214614,0.042518616,-0.38251704,-0.64645684,0.2601764,-0.16723442,0.76314497,0.21623313,0.5890769,-0.13807313,-0.38990587,-0.2186453,-0.12459265,0.61603993,0.9756608
NCI-H1792,0.016267449,0.03723303,-0.60114884,-0.059812747,-0.5760749,-0.05617936,0.27149272,-0.52870274,0.1903912,0.44009256,0.11587736,0.093510166,0.26481122,-0.06608468,-0.55922246,0.6911415,-0.50247926,-0.53652394,-0.14269505,-0.4364961,0.31691697,0.10142589,0.6432511,-0.38173592,-0.5975044,-0.14281031,-0.053434465,0.43276584,0.34309232
SF767,0.006739691,0.044151057,-0.6153745,-0.04858665,-0.58440393,-0.04967258,0.27994993,-0.5321434,0.17833507,0.42815447,0.1022158,0.079255804,0.2453313,-0.051414713,-0.5720279,0.7080238,-0.51335657,-0.53468585,-0.14340925,-0.4262933,0.31411722,0.10676126,0.64971083,-0.39790753,-0.6096994,-0.13030541,-0.05571466,0.43487006,0.32415447
U2OS,0.09759042,-1.1444939,-1.569742,0.6604798,0.18208438,-0.015055016,0.56648254,-0.061432064,-0.004583031,1.6937065,1.3109179,1.6425052,0.5035854,-0.7727619,0.06908667,-1.3597317,0.29650894,-1.2773151,1.4055886,-0.3431937,0.46551234,0.18847993,-0.41703415,-0.6475764,0.63758564,-1.1864161,0.3668051,0.49930543,2.0401103
HDLM-2,-0.068560325,-0.26538897,-0.6509062,0.116642565,-0.5080951,-0.07737591,0.30219436,-0.7012652,0.0015621185,0.8751842,0.61907965,0.48111975,0.07080728,-0.16608766,-0.6214614,0.042518616,-0.38251704,-0.64645684,0.2601764,-0.16723442,0.76314497,0.21623313,0.5890769,-0.13807313,-0.38990587,-0.2186453,-0.12459265,0.61603993,0.9756608
T1-73,-0.13821062,-0.2580526,-0.74577117,0.20779034,-0.55210936,-0.039203033,0.3587249,-0.74326587,-0.09624496,0.8521812,0.59338474,0.43799567,-0.07403782,-0.08622274,-0.7089267,0.07109088,-0.43629587,-0.64801276,0.3035354,-0.07146859,0.79860914,0.26322588,0.6230408,-0.21027426,-0.44152167,-0.14945024,-0.14729872,0.65095484,0.93232834
COLO 680N,0.006739691,0.044151057,-0.6153745,-0.04858665,-0.58440393,-0.04967258,0.27994993,-0.5321434,0.17833507,0.42815447,0.1022158,0.079255804,0.2453313,-0.051414713,-0.5720279,0.7080238,-0.51335657,-0.53468585,-0.14340925,-0.4262933,0.31411722,0.10676126,0.64971083,-0.39790753,-0.6096994,-0.13030541,-0.05571466,0.43487006,0.32415447
KNS-81-FD,0.006739691,0.044151057,-0.6153745,-0.04858665,-0.58440393,-0.04967258,0.27994993,-0.5321434,0.17833507,0.42815447,0.1022158,0.079255804,0.2453313,-0.051414713,-0.5720279,0.7080238,-0.51335657,-0.53468585,-0.14340925,-0.4262933,0.31411722,0.10676126,0.64971083,-0.39790753,-0.6096994,-0.13030541,-0.05571466,0.43487006,0.32415447
NCI-H2291,0.016267449,0.03723303,-0.60114884,-0.059812747,-0.5760749,-0.05617936,0.27149272,-0.52870274,0.1903912,0.44009256,0.11587736,0.093510166,0.26481122,-0.06608468,-0.55922246,0.6911415,-0.50247926,-0.53652394,-0.14269505,-0.4364961,0.31691697,0.10142589,0.6432511,-0.38173592,-0.5975044,-0.14281031,-0.053434465,0.43276584,0.34309232
U-251MG,0.006739691,0.044151057,-0.6153745,-0.04858665,-0.58440393,-0.04967258,0.27994993,-0.5321434,0.17833507,0.42815447,0.1022158,0.079255804,0.2453313,-0.051414713,-0.5720279,0.7080238,-0.51335657,-0.53468585,-0.14340925,-0.4262933,0.31411722,0.10676126,0.64971083,-0.39790753,-0.6096994,-0.13030541,-0.05571466,0.43487006,0.32415447
VM-CUB-1,0.11975292,-0.03790697,-0.4466368,-0.18174472,-0.48560953,-0.12685259,0.17963478,-0.49133217,0.32133842,0.5697579,0.26426202,0.24833359,0.47639212,-0.22542214,-0.4201365,0.507775,-0.38433555,-0.55648845,-0.1349378,-0.5473136,0.3473265,0.043475892,0.57308877,-0.20608865,-0.46504796,-0.27863204,-0.02866819,0.40991104,0.54878557
HCT 15,0.11975292,-0.03790697,-0.4466368,-0.18174472,-0.48560953,-0.12685259,0.17963478,-0.49133217,0.32133842,0.5697579,0.26426202,0.24833359,0.47639212,-0.22542214,-0.4201365,0.507775,-0.38433555,-0.55648845,-0.1349378,-0.5473136,0.3473265,0.043475892,0.57308877,-0.20608865,-0.46504796,-0.27863204,-0.02866819,0.40991104,0.54878557
LMSU,-0.003526099,-0.027314244,-0.83175147,0.07528618,-0.5217391,-0.0039343536,0.3621887,-0.42298934,0.14002831,0.44777134,0.08383304,0.14935583,0.24218243,-0.064350545,-0.5156407,0.6442978,-0.4718886,-0.6151613,-0.009446368,-0.43727392,0.19538645,0.11481047,0.5240485,-0.59362483,-0.52867013,-0.21643734,0.022277446,0.40344524,0.32408535
Li-7,-0.13821062,-0.2580526,-0.74577117,0.20779034,-0.55210936,-0.039203033,0.3587249,-0.74326587,-0.09624496,0.8521812,0.59338474,0.43799567,-0.07403782,-0.08622274,-0.7089267,0.07109088,-0.43629587,-0.64801276,0.3035354,-0.07146859,0.79860914,0.26322588,0.6230408,-0.21027426,-0.44152167,-0.14945024,-0.14729872,0.65095484,0.93232834
COLO 792,0.10969387,-0.71202654,-1.1313175,0.32898226,-0.0758661,-0.059243128,0.4144917,-0.22385433,0.12752588,1.2530608,0.8992563,1.0986544,0.50065994,-0.56207407,-0.116452605,-0.628364,0.033014446,-0.9966979,0.80206347,-0.4292997,0.41199,0.12913296,-0.03419441,-0.4780118,0.20950162,-0.8362626,0.2155691,0.46085212,1.4550295
CPC-N,0.006739691,0.044151057,-0.6153745,-0.04858665,-0.58440393,-0.04967258,0.27994993,-0.5321434,0.17833507,0.42815447,0.1022158,0.079255804,0.2453313,-0.051414713,-0.5720279,0.7080238,-0.51335657,-0.53468585,-0.14340925,-0.4262933,0.31411722,0.10676126,0.64971083,-0.39790753,-0.6096994,-0.13030541,-0.05571466,0.43487006,0.32415447
Karpas-422,0.006739691,0.044151057,-0.6153745,-0.04858665,-0.58440393,-0.04967258,0.27994993,-0.5321434,0.17833507,0.42815447,0.1022158,0.079255804,0.2453313,-0.051414713,-0.5720279,0.7080238,-0.51335657,-0.53468585,-0.14340925,-0.4262933,0.31411722,0.10676126,0.64971083,-0.39790753,-0.6096994,-0.13030541,-0.05571466,0.43487006,0.32415447
KNS-62,0.27595976,-0.3940479,-0.8317456,-0.022019103,-0.12872633,-0.11442247,0.26588356,-0.08781204,0.4411345,0.86537516,0.47697663,0.7448653,0.8506323,-0.5543332,0.0056643784,-0.020945907,-0.042420596,-0.84022176,0.2911483,-0.7821691,0.037343204,-0.036921676,0.059294164,-0.48930675,0.024511248,-0.78999114,0.2561405,0.27179104,0.9218142
YKG-1,-0.34133753,-1.2084314,-1.892303,1.1478293,-0.09956843,0.13689645,0.81341136,-0.53528416,-0.636736,1.8106949,1.4989536,1.5565071,-0.44124278,-0.36379167,-0.5347043,-1.5269029,0.015994042,-1.2615566,1.7493043,0.3844688,1.083636,0.5191999,-0.11128062,-0.6817179,0.37824607,-0.7386228,0.10245339,0.8493747,2.1867886
SNU-182,0.006739691,0.044151057,-0.6153745,-0.04858665,-0.58440393,-0.04967258,0.27994993,-0.5321434,0.17833507,0.42815447,0.1022158,0.079255804,0.2453313,-0.051414713,-0.5720279,0.7080238,-0.51335657,-0.53468585,-0.14340925,-0.4262933,0.31411722,0.10676126,0.64971083,-0.39790753,-0.6096994,-0.13030541,-0.05571466,0.43487006,0.32415447
U-87MG ATCC,-0.13745642,-1.2983116,-1.6922667,0.9356606,0.07324207,0.033930227,0.67458034,-0.37824458,-0.36897922,1.9438252,1.6326995,1.7683643,-0.011681795,-0.63190615,-0.2440078,-1.7220128,0.21676227,-1.3040266,1.7187269,0.11200297,0.9761797,0.3890871,-0.27754098,-0.5085173,0.59957314,-1.0013032,0.19805995,0.7487403,2.399271
WSU-DLCL2,0.22015765,-0.26682287,-0.6941723,-0.07907824,-0.25621653,-0.11886291,0.23507273,-0.23196241,0.39833948,0.75977117,0.4009881,0.5674882,0.71694165,-0.4368356,-0.1464454,0.16793022,-0.16456363,-0.7388631,0.13893664,-0.69827116,0.14807922,-0.008201074,0.24283814,-0.38813215,-0.15037507,-0.6073172,0.15439767,0.32113194,0.78855634
MHH-NB-11,-0.13821062,-0.2580526,-0.74577117,0.20779034,-0.55210936,-0.039203033,0.3587249,-0.74326587,-0.09624496,0.8521812,0.59338474,0.43799567,-0.07403782,-0.08622274,-0.7089267,0.07109088,-0.43629587,-0.64801276,0.3035354,-0.07146859,0.79860914,0.26322588,0.6230408,-0.21027426,-0.44152167,-0.14945024,-0.14729872,0.65095484,0.93232834
KMS-21-BM,-0.01125551,-1.1878057,-1.5980648,0.7670435,0.11434996,0.004889205,0.60691166,-0.21989599,-0.16587469,1.7814019,1.4339476,1.6654505,0.26303726,-0.69320214,-0.089163125,-1.4806292,0.24198213,-1.2713215,1.5119694,-0.13652134,0.7002027,0.2781541,-0.3267892,-0.5715591,0.59170294,-1.0770407,0.27814546,0.61313015,2.1691723
SH-10-TC,-0.026846148,-0.042466015,-0.6420845,0.014303282,-0.570445,-0.05085203,0.29617068,-0.58752847,0.111000314,0.5510708,0.24449183,0.18582097,0.17039439,-0.06998736,-0.60138935,0.52404106,-0.48562285,-0.56669885,-0.021203808,-0.33594882,0.44784406,0.14608166,0.63844246,-0.33676964,-0.55632585,-0.14326936,-0.07925242,0.4924351,0.50157595
COLO 849,0.06881668,-0.09943784,-0.501889,-0.10103491,-0.4916916,-0.1134698,0.21278553,-0.54811627,0.23484316,0.65237164,0.3602355,0.31129918,0.3666868,-0.20937295,-0.47459224,0.3819293,-0.38384366,-0.5808237,-0.02806463,-0.44450718,0.4597999,0.09020444,0.5774133,-0.18769135,-0.444723,-0.26240644,-0.054614488,0.46566617,0.66424966
ACHN,-0.13821062,-0.2580526,-0.74577117,0.20779034,-0.55210936,-0.039203033,0.3587249,-0.74326587,-0.09624496,0.8521812,0.59338474,0.43799567,-0.07403782,-0.08622274,-0.7089267,0.07109088,-0.43629587,-0.64801276,0.3035354,-0.07146859,0.79860914,0.26322588,0.6230408,-0.21027426,-0.44152167,-0.14945024,-0.14729872,0.65095484,0.93232834
A-704,-0.13821062,-0.2580526,-0.74577117,0.20779034,-0.55210936,-0.039203033,0.3587249,-0.74326587,-0.09624496,0.8521812,0.59338474,0.43799567,-0.07403782,-0.08622274,-0.7089267,0.07109088,-0.43629587,-0.64801276,0.3035354,-0.07146859,0.79860914,0.26322588,0.6230408,-0.21027426,-0.44152167,-0.14945024,-0.14729872,0.65095484,0.93232834
GMS-10,-0.2389524,-0.28026235,-0.87605363,0.34652033,-0.6029629,0.008879423,0.4364717,-0.8168051,-0.24505603,0.8676959,0.6125263,0.42198694,-0.28539458,0.008511841,-0.8307706,0.0404225,-0.4945439,-0.66164446,0.40312716,0.083125174,0.89236224,0.3372611,0.66210145,-0.27977338,-0.4876866,-0.06623356,-0.18472363,0.716283,0.94185024
HCC2157,0.006739691,0.044151057,-0.6153745,-0.04858665,-0.58440393,-0.04967258,0.27994993,-0.5321434,0.17833507,0.42815447,0.1022158,0.079255804,0.2453313,-0.051414713,-0.5720279,0.7080238,-0.51335657,-0.53468585,-0.14340925,-0.4262933,0.31411722,0.10676126,0.64971083,-0.39790753,-0.6096994,-0.13030541,-0.05571466,0.43487006,0.32415447
DoHH2,-0.13821062,-0.2580526,-0.74577117,0.20779034,-0.55210936,-0.039203033,0.3587249,-0.74326587,-0.09624496,0.8521812,0.59338474,0.43799567,-0.07403782,-0.08622274,-0.7089267,0.07109088,-0.43629587,-0.64801276,0.3035354,-0.07146859,0.79860914,0.26322588,0.6230408,-0.21027426,-0.44152167,-0.14945024,-0.14729872,0.65095484,0.93232834
SNU-283,-0.068560325,-0.26538897,-0.6509062,0.116642565,-0.5080951,-0.07737591,0.30219436,-0.7012652,0.0015621185,0.8751842,0.61907965,0.48111975,0.07080728,-0.16608766,-0.6214614,0.042518616,-0.38251704,-0.64645684,0.2601764,-0.16723442,0.76314497,0.21623313,0.5890769,-0.13807313,-0.38990587,-0.2186453,-0.12459265,0.61603993,0.9756608
EW-8,0.006739691,0.044151057,-0.6153745,-0.04858665,-0.58440393,-0.04967258,0.27994993,-0.5321434,0.17833507,0.42815447,0.1022158,0.079255804,0.2453313,-0.051414713,-0.5720279,0.7080238,-0.51335657,-0.53468585,-0.14340925,-0.4262933,0.31411722,0.10676126,0.64971083,-0.39790753,-0.6096994,-0.13030541,-0.05571466,0.43487006,0.32415447
HCC44,0.23571315,-0.30228838,-0.7325225,-0.063172325,-0.22067711,-0.11762508,0.24366161,-0.19177878,0.4102691,0.78920954,0.42217082,0.6169342,0.7542095,-0.46958944,-0.10404298,0.11527875,-0.1305148,-0.767118,0.18136746,-0.7216587,0.117210224,-0.016207285,0.19167307,-0.41633576,-0.101623416,-0.6582397,0.18275969,0.30737758,0.8257036
TM-31,0.22015765,-0.26682287,-0.6941723,-0.07907824,-0.25621653,-0.11886291,0.23507273,-0.23196241,0.39833948,0.75977117,0.4009881,0.5674882,0.71694165,-0.4368356,-0.1464454,0.16793022,-0.16456363,-0.7388631,0.13893664,-0.69827116,0.14807922,-0.008201074,0.24283814,-0.38813215,-0.15037507,-0.6073172,0.15439767,0.32113194,0.78855634
KATO III,0.5112346,-0.93045837,-1.4117868,0.2185556,0.4088021,-0.09570054,0.39578933,0.5199598,0.6215683,1.3106265,0.797362,1.4927288,1.4143034,-1.0497308,0.646995,-0.81729203,0.47256312,-1.2675736,0.93290854,-1.1359026,-0.4295458,-0.15801446,-0.7145703,-0.91588277,0.761873,-1.5601873,0.6851122,0.063758224,1.4836606
NCI-H929,-0.21758232,-0.75513667,-1.1278062,0.58427906,-0.33361155,-0.007825136,0.5060065,-0.73699856,-0.33418435,1.428962,1.1881057,1.0573754,-0.22866133,-0.27813286,-0.6336572,-0.8456246,-0.18584882,-0.9213752,1.0013906,0.17926008,1.1120665,0.3887053,0.31718674,-0.21317945,-0.016703933,-0.4335847,-0.083828546,0.79784346,1.7268242
CML-T1,-0.21454275,-0.6905757,-1.0625346,0.5339513,-0.3710481,-0.014599487,0.48302788,-0.7592446,-0.3127668,1.3626813,1.125714,0.9765476,-0.22633979,-0.24783312,-0.6593303,-0.7358965,-0.22425792,-0.87987375,0.9107672,0.1641376,1.10145,0.37888676,0.37286633,-0.18893108,-0.079594016,-0.38296625,-0.10521698,0.7908435,1.6386733
SK-N-DZ,-0.13821062,-0.2580526,-0.74577117,0.20779034,-0.55210936,-0.039203033,0.3587249,-0.74326587,-0.09624496,0.8521812,0.59338474,0.43799567,-0.07403782,-0.08622274,-0.7089267,0.07109088,-0.43629587,-0.64801276,0.3035354,-0.07146859,0.79860914,0.26322588,0.6230408,-0.21027426,-0.44152167,-0.14945024,-0.14729872,0.65095484,0.93232834
UOK101,0.006739691,0.044151057,-0.6153745,-0.04858665,-0.58440393,-0.04967258,0.27994993,-0.5321434,0.17833507,0.42815447,0.1022158,0.079255804,0.2453313,-0.051414713,-0.5720279,0.7080238,-0.51335657,-0.53468585,-0.14340925,-0.4262933,0.31411722,0.10676126,0.64971083,-0.39790753,-0.6096994,-0.13030541,-0.05571466,0.43487006,0.32415447
KO52,0.27101952,-0.38278446,-0.819566,-0.027070656,-0.14001328,-0.11481559,0.26315582,-0.10057393,0.43734577,0.8560259,0.47024924,0.7291618,0.8387964,-0.5439309,-0.0078021586,-0.00422436,-0.05323413,-0.8312483,0.27767274,-0.77474153,0.047146857,-0.034378987,0.07554364,-0.4803496,0.009028256,-0.7738187,0.24713302,0.2761593,0.91001666
NCI-H1975,0.11975292,-0.03790697,-0.4466368,-0.18174472,-0.48560953,-0.12685259,0.17963478,-0.49133217,0.32133842,0.5697579,0.26426202,0.24833359,0.47639212,-0.22542214,-0.4201365,0.507775,-0.38433555,-0.55648845,-0.1349378,-0.5473136,0.3473265,0.043475892,0.57308877,-0.20608865,-0.46504796,-0.27863204,-0.02866819,0.40991104,0.54878557
NCI-H322,0.006739691,0.044151057,-0.6153745,-0.04858665,-0.58440393,-0.04967258,0.27994993,-0.5321434,0.17833507,0.42815447,0.1022158,0.079255804,0.2453313,-0.051414713,-0.5720279,0.7080238,-0.51335657,-0.53468585,-0.14340925,-0.4262933,0.31411722,0.10676126,0.64971083,-0.39790753,-0.6096994,-0.13030541,-0.05571466,0.43487006,0.32415447
Hs 229.T,-0.13821062,-0.2580526,-0.74577117,0.20779034,-0.55210936,-0.039203033,0.3587249,-0.74326587,-0.09624496,0.8521812,0.59338474,0.43799567,-0.07403782,-0.08622274,-0.7089267,0.07109088,-0.43629587,-0.64801276,0.3035354,-0.07146859,0.79860914,0.26322588,0.6230408,-0.21027426,-0.44152167,-0.14945024,-0.14729872,0.65095484,0.93232834
MUTZ-5,-0.13821062,-0.2580526,-0.74577117,0.20779034,-0.55210936,-0.039203033,0.3587249,-0.74326587,-0.09624496,0.8521812,0.59338474,0.43799567,-0.07403782,-0.08622274,-0.7089267,0.07109088,-0.43629587,-0.64801276,0.3035354,-0.07146859,0.79860914,0.26322588,0.6230408,-0.21027426,-0.44152167,-0.14945024,-0.14729872,0.65095484,0.93232834
SK-CO-1,0.11975292,-0.03790697,-0.4466368,-0.18174472,-0.48560953,-0.12685259,0.17963478,-0.49133217,0.32133842,0.5697579,0.26426202,0.24833359,0.47639212,-0.22542214,-0.4201365,0.507775,-0.38433555,-0.55648845,-0.1349378,-0.5473136,0.3473265,0.043475892,0.57308877,-0.20608865,-0.46504796,-0.27863204,-0.02866819,0.40991104,0.54878557
P3HR-1,-0.16480532,-0.3816527,-0.75530624,0.26914528,-0.5195872,-0.05208888,0.3648333,-0.8085599,-0.1618723,1.0312846,0.8004234,0.6000944,-0.13648304,-0.13576241,-0.72435653,-0.19526923,-0.38158762,-0.6924388,0.46211526,0.027020156,0.97566557,0.3045276,0.59724826,-0.103311084,-0.35150152,-0.18798669,-0.17361867,0.7213903,1.1938324
SW1116,0.11975292,-0.03790697,-0.4466368,-0.18174472,-0.48560953,-0.12685259,0.17963478,-0.49133217,0.32133842,0.5697579,0.26426202,0.24833359,0.47639212,-0.22542214,-0.4201365,0.507775,-0.38433555,-0.55648845,-0.1349378,-0.5473136,0.3473265,0.043475892,0.57308877,-0.20608865,-0.46504796,-0.27863204,-0.02866819,0.40991104,0.54878557
NCI-H1915,0.006739691,0.044151057,-0.6153745,-0.04858665,-0.58440393,-0.04967258,0.27994993,-0.5321434,0.17833507,0.42815447,0.1022158,0.079255804,0.2453313,-0.051414713,-0.5720279,0.7080238,-0.51335657,-0.53468585,-0.14340925,-0.4262933,0.31411722,0.10676126,0.64971083,-0.39790753,-0.6096994,-0.13030541,-0.05571466,0.43487006,0.32415447
MDA-MB-157,0.006739691,0.044151057,-0.6153745,-0.04858665,-0.58440393,-0.04967258,0.27994993,-0.5321434,0.17833507,0.42815447,0.1022158,0.079255804,0.2453313,-0.051414713,-0.5720279,0.7080238,-0.51335657,-0.53468585,-0.14340925,-0.4262933,0.31411722,0.10676126,0.64971083,-0.39790753,-0.6096994,-0.13030541,-0.05571466,0.43487006,0.32415447
SW1783,0.05349914,-0.75587386,-1.1678095,0.40005872,-0.097497255,-0.04683765,0.44277498,-0.29661983,0.03851819,1.3199854,0.98276955,1.137697,0.37796122,-0.5320293,-0.18794723,-0.7268513,0.018406838,-1.0077361,0.8867141,-0.3194278,0.5345333,0.1779105,-0.0073422194,-0.44770986,0.207578,-0.79799825,0.17789,0.52091336,1.5503362
HCC1599,0.006739691,0.044151057,-0.6153745,-0.04858665,-0.58440393,-0.04967258,0.27994993,-0.5321434,0.17833507,0.42815447,0.1022158,0.079255804,0.2453313,-0.051414713,-0.5720279,0.7080238,-0.51335657,-0.53468585,-0.14340925,-0.4262933,0.31411722,0.10676126,0.64971083,-0.39790753,-0.6096994,-0.13030541,-0.05571466,0.43487006,0.32415447
HTK-,0.17991106,-0.17506342,-0.5949493,-0.12023144,-0.34816724,-0.12206552,0.21285078,-0.33592913,0.36747408,0.68360555,0.34618235,0.4395571,0.6205189,-0.35209185,-0.25615275,0.3041548,-0.25265777,-0.6657594,0.02915582,-0.63776076,0.2279462,0.012513306,0.375217,-0.31516117,-0.27650967,-0.47556585,0.08101689,0.35671848,0.69244576
COLO 783,0.15010667,-0.10711144,-0.52147025,-0.15070722,-0.41626084,-0.1244372,0.19639444,-0.41292107,0.34461692,0.62720156,0.30559623,0.34481847,0.5491136,-0.28933537,-0.33739588,0.4050352,-0.31789544,-0.61162287,-0.05214174,-0.59295017,0.28709126,0.027853224,0.4732494,-0.26112294,-0.36991796,-0.37799814,0.02667517,0.3830719,0.6212716
EFM-19,-0.1020593,-0.09136394,-1.2412903,0.34713385,-0.50036156,0.10859254,0.5437261,-0.31941804,-0.025229812,0.41245878,-0.010725856,0.15869513,0.06287685,0.029885262,-0.5499668,0.64337444,-0.4953623,-0.7168182,0.19709471,-0.34639454,0.050664246,0.17862333,0.40432888,-0.9671932,-0.50277615,-0.23573682,0.1020434,0.39375868,0.221612
KE-39,0.28854597,-0.6020564,-1.0452847,0.12487799,0.0113450885,-0.09582289,0.33467725,0.020192742,0.40291432,1.0698669,0.66098803,1.011838,0.89322853,-0.6728851,0.12514728,-0.3645705,0.09815359,-0.9810246,0.573576,-0.7746245,0.023865879,-0.022696692,-0.1468355,-0.586769,0.24559057,-0.9831114,0.34663522,0.2714784,1.1911757
143B,0.07389566,-0.020256238,-0.511802,-0.12442674,-0.51959145,-0.098934494,0.21842386,-0.5139891,0.25981143,0.5355561,0.2253502,0.2018297,0.38175118,-0.16472197,-0.47954538,0.5547095,-0.42737478,-0.5530671,-0.120795615,-0.49054262,0.354091,0.072046414,0.5993818,-0.26727054,-0.5101609,-0.22648607,-0.04182752,0.42710692,0.49205405
MM1.S,0.07389566,-0.020256238,-0.511802,-0.12442674,-0.51959145,-0.098934494,0.21842386,-0.5139891,0.25981143,0.5355561,0.2253502,0.2018297,0.38175118,-0.16472197,-0.47954538,0.5547095,-0.42737478,-0.5530671,-0.120795615,-0.49054262,0.354091,0.072046414,0.5993818,-0.26727054,-0.5101609,-0.22648607,-0.04182752,0.42710692,0.49205405
OAW28,0.006739691,0.044151057,-0.6153745,-0.04858665,-0.58440393,-0.04967258,0.27994993,-0.5321434,0.17833507,0.42815447,0.1022158,0.079255804,0.2453313,-0.051414713,-0.5720279,0.7080238,-0.51335657,-0.53468585,-0.14340925,-0.4262933,0.31411722,0.10676126,0.64971083,-0.39790753,-0.6096994,-0.13030541,-0.05571466,0.43487006,0.32415447
HCC33,0.006739691,0.044151057,-0.6153745,-0.04858665,-0.58440393,-0.04967258,0.27994993,-0.5321434,0.17833507,0.42815447,0.1022158,0.079255804,0.2453313,-0.051414713,-0.5720279,0.7080238,-0.51335657,-0.53468585,-0.14340925,-0.4262933,0.31411722,0.10676126,0.64971083,-0.39790753,-0.6096994,-0.13030541,-0.05571466,0.43487006,0.32415447
BICR 31,0.006739691,0.044151057,-0.6153745,-0.04858665,-0.58440393,-0.04967258,0.27994993,-0.5321434,0.17833507,0.42815447,0.1022158,0.079255804,0.2453313,-0.051414713,-0.5720279,0.7080238,-0.51335657,-0.53468585,-0.14340925,-0.4262933,0.31411722,0.10676126,0.64971083,-0.39790753,-0.6096994,-0.13030541,-0.05571466,0.43487006,0.32415447
PC-14,0.006739691,0.044151057,-0.6153745,-0.04858665,-0.58440393,-0.04967258,0.27994993,-0.5321434,0.17833507,0.42815447,0.1022158,0.079255804,0.2453313,-0.051414713,-0.5720279,0.7080238,-0.51335657,-0.53468585,-0.14340925,-0.4262933,0.31411722,0.10676126,0.64971083,-0.39790753,-0.6096994,-0.13030541,-0.05571466,0.43487006,0.32415447
CAL-27,0.11975292,-0.03790697,-0.4466368,-0.18174472,-0.48560953,-0.12685259,0.17963478,-0.49133217,0.32133842,0.5697579,0.26426202,0.24833359,0.47639212,-0.22542214,-0.4201365,0.507775,-0.38433555,-0.55648845,-0.1349378,-0.5473136,0.3473265,0.043475892,0.57308877,-0.20608865,-0.46504796,-0.27863204,-0.02866819,0.40991104,0.54878557
