,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28
Hs 852.T,-0.21758232,-0.75513667,-1.1278062,0.58427906,-0.33361155,-0.007825136,0.5060065,-0.73699856,-0.33418435,1.428962,1.1881057,1.0573754,-0.22866133,-0.27813286,-0.6336572,-0.8456246,-0.18584882,-0.9213752,1.0013906,0.17926008,1.1120665,0.3887053,0.31718674,-0.21317945,-0.016703933,-0.4335847,-0.083828546,0.79784346,1.7268242
ZR-75-30,0.15157524,-0.2788199,-0.953994,0.08925122,-0.2600765,-0.04170222,0.35320765,-0.16835791,0.2917343,0.6992705,0.29978177,0.5317973,0.5906905,-0.3537439,-0.18366624,0.2253111,-0.20121405,-0.79019547,0.23929185,-0.6420352,0.03732133,0.032005183,0.1854924,-0.6441424,-0.1644224,-0.5952964,0.20097636,0.3098974,0.6681613
SNU-324,-0.13821062,-0.2580526,-0.74577117,0.20779034,-0.55210936,-0.039203033,0.3587249,-0.74326587,-0.09624496,0.8521812,0.59338474,0.43799567,-0.07403782,-0.08622274,-0.7089267,0.07109088,-0.43629587,-0.64801276,0.3035354,-0.07146859,0.79860914,0.26322588,0.6230408,-0.21027426,-0.44152167,-0.14945024,-0.14729872,0.65095484,0.93232834
NCI-H2347,0.15107644,-0.85133183,-1.2790984,0.40489927,0.046588182,-0.051538087,0.45284596,-0.098026484,0.14726023,1.376673,0.99744576,1.2870991,0.60292375,-0.6722878,0.0177055,-0.8439037,0.15193173,-1.1014342,0.9771435,-0.48488224,0.33275172,0.11302437,-0.21160978,-0.57175606,0.3847341,-1.0098203,0.30795577,0.42697293,1.6138494
HuTu 80,0.09759042,-1.1444939,-1.569742,0.6604798,0.18208438,-0.015055016,0.56648254,-0.061432064,-0.004583031,1.6937065,1.3109179,1.6425052,0.5035854,-0.7727619,0.06908667,-1.3597317,0.29650894,-1.2773151,1.4055886,-0.3431937,0.46551234,0.18847993,-0.41703415,-0.6475764,0.63758564,-1.1864161,0.3668051,0.49930543,2.0401103
KE-37,-0.21758232,-0.75513667,-1.1278062,0.58427906,-0.33361155,-0.007825136,0.5060065,-0.73699856,-0.33418435,1.428962,1.1881057,1.0573754,-0.22866133,-0.27813286,-0.6336572,-0.8456246,-0.18584882,-0.9213752,1.0013906,0.17926008,1.1120665,0.3887053,0.31718674,-0.21317945,-0.016703933,-0.4335847,-0.083828546,0.79784346,1.7268242
OVCAR-4,0.11975292,-0.03790697,-0.4466368,-0.18174472,-0.48560953,-0.12685259,0.17963478,-0.49133217,0.32133842,0.5697579,0.26426202,0.24833359,0.47639212,-0.22542214,-0.4201365,0.507775,-0.38433555,-0.55648845,-0.1349378,-0.5473136,0.3473265,0.043475892,0.57308877,-0.20608865,-0.46504796,-0.27863204,-0.02866819,0.40991104,0.54878557
SNU-119,-0.027959801,-0.01883188,-0.89181983,0.11718884,-0.5346941,0.017295599,0.39245617,-0.418572,0.10614054,0.42096686,0.048368573,0.12282677,0.19431958,-0.030101776,-0.5402459,0.6779816,-0.49354327,-0.6201212,0.0045287907,-0.41368702,0.17463104,0.1287628,0.52505517,-0.6560137,-0.54889625,-0.19605444,0.025868153,0.40488872,0.2779054
ME-1 [Human leukemia],-0.21758232,-0.75513667,-1.1278062,0.58427906,-0.33361155,-0.007825136,0.5060065,-0.73699856,-0.33418435,1.428962,1.1881057,1.0573754,-0.22866133,-0.27813286,-0.6336572,-0.8456246,-0.18584882,-0.9213752,1.0013906,0.17926008,1.1120665,0.3887053,0.31718674,-0.21317945,-0.016703933,-0.4335847,-0.083828546,0.79784346,1.7268242
HEK TE,0.006739691,0.044151057,-0.6153745,-0.04858665,-0.58440393,-0.04967258,0.27994993,-0.5321434,0.17833507,0.42815447,0.1022158,0.079255804,0.2453313,-0.051414713,-0.5720279,0.7080238,-0.51335657,-0.53468585,-0.14340925,-0.4262933,0.31411722,0.10676126,0.64971083,-0.39790753,-0.6096994,-0.13030541,-0.05571466,0.43487006,0.32415447
Raji,0.006739691,0.044151057,-0.6153745,-0.04858665,-0.58440393,-0.04967258,0.27994993,-0.5321434,0.17833507,0.42815447,0.1022158,0.079255804,0.2453313,-0.051414713,-0.5720279,0.7080238,-0.51335657,-0.53468585,-0.14340925,-0.4262933,0.31411722,0.10676126,0.64971083,-0.39790753,-0.6096994,-0.13030541,-0.05571466,0.43487006,0.32415447
KYSE-510,-0.22729713,-0.6815185,-1.6676257,0.8053036,-0.27217293,0.14447989,0.71719766,-0.37731087,-0.34957004,1.1186415,0.73343456,0.8876817,-0.19240323,-0.17117767,-0.51770186,-0.46823233,-0.22198066,-1.025787,1.0340335,0.014662385,0.51162195,0.35299918,0.08957416,-0.916457,-0.026665658,-0.52529436,0.13794093,0.6070719,1.2011707
Panc 02.13,0.11975292,-0.03790697,-0.4466368,-0.18174472,-0.48560953,-0.12685259,0.17963478,-0.49133217,0.32133842,0.5697579,0.26426202,0.24833359,0.47639212,-0.22542214,-0.4201365,0.507775,-0.38433555,-0.55648845,-0.1349378,-0.5473136,0.3473265,0.043475892,0.57308877,-0.20608865,-0.46504796,-0.27863204,-0.02866819,0.40991104,0.54878557
JVM-3,0.06881668,-0.09943784,-0.501889,-0.10103491,-0.4916916,-0.1134698,0.21278553,-0.54811627,0.23484316,0.65237164,0.3602355,0.31129918,0.3666868,-0.20937295,-0.47459224,0.3819293,-0.38384366,-0.5808237,-0.02806463,-0.44450718,0.4597999,0.09020444,0.5774133,-0.18769135,-0.444723,-0.26240644,-0.054614488,0.46566617,0.66424966
K029AX,0.06881668,-0.09943784,-0.501889,-0.10103491,-0.4916916,-0.1134698,0.21278553,-0.54811627,0.23484316,0.65237164,0.3602355,0.31129918,0.3666868,-0.20937295,-0.47459224,0.3819293,-0.38384366,-0.5808237,-0.02806463,-0.44450718,0.4597999,0.09020444,0.5774133,-0.18769135,-0.444723,-0.26240644,-0.054614488,0.46566617,0.66424966
Hs 600.T,-0.13821062,-0.2580526,-0.74577117,0.20779034,-0.55210936,-0.039203033,0.3587249,-0.74326587,-0.09624496,0.8521812,0.59338474,0.43799567,-0.07403782,-0.08622274,-0.7089267,0.07109088,-0.43629587,-0.64801276,0.3035354,-0.07146859,0.79860914,0.26322588,0.6230408,-0.21027426,-0.44152167,-0.14945024,-0.14729872,0.65095484,0.93232834
COR-L47,-0.11786393,-0.32494763,-0.7043874,0.19476542,-0.5139822,-0.06442207,0.33428252,-0.7562293,-0.08216074,0.95515,0.71197695,0.5420671,-0.035381705,-0.1505529,-0.6741717,-0.07929343,-0.38204095,-0.67001206,0.363624,-0.067723244,0.87201333,0.2614639,0.59326285,-0.120265506,-0.3702324,-0.20293975,-0.1497073,0.67000794,1.087424
OUMS-23,0.11975292,-0.03790697,-0.4466368,-0.18174472,-0.48560953,-0.12685259,0.17963478,-0.49133217,0.32133842,0.5697579,0.26426202,0.24833359,0.47639212,-0.22542214,-0.4201365,0.507775,-0.38433555,-0.55648845,-0.1349378,-0.5473136,0.3473265,0.043475892,0.57308877,-0.20608865,-0.46504796,-0.27863204,-0.02866819,0.40991104,0.54878557
RCC4,0.006739691,0.044151057,-0.6153745,-0.04858665,-0.58440393,-0.04967258,0.27994993,-0.5321434,0.17833507,0.42815447,0.1022158,0.079255804,0.2453313,-0.051414713,-0.5720279,0.7080238,-0.51335657,-0.53468585,-0.14340925,-0.4262933,0.31411722,0.10676126,0.64971083,-0.39790753,-0.6096994,-0.13030541,-0.05571466,0.43487006,0.32415447
RCC10RGB,0.3653433,-0.5978362,-1.0521097,0.06937793,0.07548672,-0.1073098,0.3152362,0.14308733,0.5096834,1.0345311,0.5986946,1.028987,1.0647773,-0.74254024,0.24931306,-0.32348675,0.15322748,-1.0025775,0.53496015,-0.9165565,-0.14003316,-0.082926184,-0.23470563,-0.6513678,0.30464327,-1.0825973,0.41911164,0.19275704,1.135266
GLC-82,0.006739691,0.044151057,-0.6153745,-0.04858665,-0.58440393,-0.04967258,0.27994993,-0.5321434,0.17833507,0.42815447,0.1022158,0.079255804,0.2453313,-0.051414713,-0.5720279,0.7080238,-0.51335657,-0.53468585,-0.14340925,-0.4262933,0.31411722,0.10676126,0.64971083,-0.39790753,-0.6096994,-0.13030541,-0.05571466,0.43487006,0.32415447
KP-1NL,0.07389566,-0.020256238,-0.511802,-0.12442674,-0.51959145,-0.098934494,0.21842386,-0.5139891,0.25981143,0.5355561,0.2253502,0.2018297,0.38175118,-0.16472197,-0.47954538,0.5547095,-0.42737478,-0.5530671,-0.120795615,-0.49054262,0.354091,0.072046414,0.5993818,-0.26727054,-0.5101609,-0.22648607,-0.04182752,0.42710692,0.49205405
ONCO-DG-1,0.11975292,-0.03790697,-0.4466368,-0.18174472,-0.48560953,-0.12685259,0.17963478,-0.49133217,0.32133842,0.5697579,0.26426202,0.24833359,0.47639212,-0.22542214,-0.4201365,0.507775,-0.38433555,-0.55648845,-0.1349378,-0.5473136,0.3473265,0.043475892,0.57308877,-0.20608865,-0.46504796,-0.27863204,-0.02866819,0.40991104,0.54878557
SF295,-0.2389524,-0.28026235,-0.87605363,0.34652033,-0.6029629,0.008879423,0.4364717,-0.8168051,-0.24505603,0.8676959,0.6125263,0.42198694,-0.28539458,0.008511841,-0.8307706,0.0404225,-0.4945439,-0.66164446,0.40312716,0.083125174,0.89236224,0.3372611,0.66210145,-0.27977338,-0.4876866,-0.06623356,-0.18472363,0.716283,0.94185024
