,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E60,E61,E62,E63,E64,E65,E66,E67,E68,E69,E70,E71,E72,E73,E74,E75,E76,E77,E78,E79,E80,E81,E82,E83,E84,E85,E86,E87,E88,E89,E90,E91,E92,E93,E94,E95,E96,E97,E98,E99,E100,E101,E102,E103,E104,E105,E106,E107,E108,E109,E110,E111,E112,E113,E114,E115,E116,E117,E118,E119,E120,E121,E122,E123,E124,E125,E126,E127
F5,0.40781716,-0.42275506,-0.68324214,-0.16166177,-0.024868729,0.26625052,-0.053033832,-0.015632099,-0.23648104,0.13436392,-0.6125591,-0.10152574,-0.19301763,0.04523729,0.4436726,-0.21519208,-0.258716,0.24457638,-0.29223728,-0.35216534,-0.15778911,-0.25702053,0.0032534227,0.31667095,0.1136865,-0.03985302,-0.24031824,-0.105682015,-0.38551548,0.21415849,0.017707407,-0.05777464,-0.1356219,0.14869794,0.11676863,0.36656603,-0.17557837,0.038478687,0.25023916,-0.017745582,0.039692625,0.010437854,0.042030375,-0.5281291,0.094029464,0.07511105,0.09066086,-0.032479018,0.3135557,0.00995107,0.09289759,0.024948962,0.019621432,0.01238187,0.3897763,-0.18885672,-0.21866487,0.36450297,0.010966058,0.07087284,-0.23291156,-0.3571918,-0.56178075,0.18179137,0.118062004,0.19678928,0.16489089,0.011824751,-0.11276439,0.027024332,0.17215009,0.062595025,-0.019497916,-0.28941613,0.12692443,-0.19667171,-0.27208364,-0.11321529,-0.118543185,0.34330782,-0.5570711,0.46487308,0.12713699,-0.15087089,-0.265603,0.4678896,0.4614736,-0.26215535,-0.27613002,-0.10947873,-0.206786,0.2462908,-0.26640454,0.11062384,-0.010849008,0.09093039,0.038216863,0.21643668,-0.12991741,0.2441018,0.41666916,0.16832201,-0.32616854,0.29084733,0.25396127,-0.41368872,0.038731195,0.0073346104,0.14274175,-0.35874087,0.19941774,-0.03511394,-0.34589204,-0.108002305,-0.08545305,-0.40144998,-0.13021846,-0.014596654,-0.15779348,0.20858209,-0.22447789,0.17092043,-0.26507628,0.634821,-0.29926625,0.019478744,-0.25250918,-0.33263987
KMS-34,0.39818642,-0.4127127,-0.6831466,-0.15402924,-0.01757825,0.2458862,0.0045155026,-0.028049208,-0.20201863,0.102134846,-0.6124654,-0.046246663,-0.14200354,-0.0896988,0.43754286,-0.20705369,-0.2646274,0.31882653,-0.2925388,-0.4449366,-0.14169165,-0.24470237,0.06159277,0.41795027,0.07790075,-0.045235537,-0.2595741,-0.11271076,-0.38916633,0.2188471,0.022020463,-0.14621145,-0.1142462,0.1476047,0.0704002,0.36266267,-0.20791426,0.001321299,0.25222662,-0.014683115,0.15490562,-0.040254183,0.04139048,-0.51495093,0.0919736,0.072858796,0.24876608,0.015294617,0.32645175,-0.055450708,0.11242953,0.05948392,0.0074358173,0.037015032,0.42453423,-0.015293846,-0.24982397,0.39954054,0.009105457,0.072960734,-0.37504005,-0.34776133,-0.57168937,0.1803938,0.16052577,0.30881113,0.14289936,0.041316204,-0.09766702,0.029277673,0.16815288,-0.017015956,-0.027033076,-0.28374672,0.1033434,-0.19542828,-0.29332158,-0.122206055,-0.11751165,0.20162255,-0.5305612,0.44608265,0.09758875,-0.093302354,-0.2777924,0.42056188,0.45422786,-0.26397353,-0.21978578,-0.0779421,-0.21249193,0.20391005,-0.26639932,0.09239432,-0.013740524,0.16845568,-0.12678598,0.12083825,-0.14495564,0.33358136,0.42974117,0.10207281,-0.29055694,0.28007442,0.2525953,-0.36354983,0.10536342,-0.010268778,0.10847809,-0.22876249,0.1535603,-0.032267705,-0.3440275,-0.0902632,-0.12975682,-0.39025062,-0.112023525,0.006260868,-0.20974807,0.20688525,-0.1988213,0.16665865,-0.23304163,0.6303286,-0.32526273,0.022309955,-0.2422967,-0.36686602
TE-14,0.44615918,-0.40386826,-0.682755,-0.16039757,-0.05233974,0.2714226,-0.07505356,0.0034126956,-0.22014607,0.12560005,-0.6127204,-0.07039543,-0.25493082,0.046184298,0.421477,-0.195923,-0.25162712,0.33301046,-0.2917388,-0.32994157,-0.1975039,-0.24945688,0.09466125,0.4068531,0.01108586,-0.042396113,-0.2151772,-0.10289922,-0.39755368,0.17221677,-0.025849512,-0.15997869,-0.12656803,0.14889964,0.08044037,0.3532522,-0.20601708,-0.033912975,0.27417293,-0.024060177,0.037481703,-0.03485816,0.03274972,-0.5209762,0.09078128,0.04928668,0.17253135,-0.020760957,0.32603127,0.031924725,0.13293792,-0.035389725,-0.107568145,0.20824935,0.43701047,-0.017830364,-0.23699684,0.4284727,0.013761531,0.07362891,-0.34258232,-0.33834434,-0.6077963,0.14733653,0.069297984,0.18636553,0.1771213,0.036970034,-0.11899068,0.030423868,0.23881257,0.07763373,-0.0067021484,-0.30276096,0.12068004,-0.21126446,-0.2879461,-0.10826661,-0.11694296,0.009537712,-0.55820036,0.4703597,0.119716406,-0.2526204,-0.27800995,0.35797143,0.44383907,-0.32167166,-0.21643168,-0.09283143,-0.20871204,0.22716103,-0.26639625,0.09405036,-0.013616177,0.08877378,-0.10714112,0.21218573,-0.08835647,0.3707024,0.41800877,0.11363991,-0.28962767,0.29034793,0.25339824,-0.3440463,0.10647644,-0.020449538,0.17189287,-0.21438198,0.28614658,-0.032575324,-0.33677045,-0.12771825,-0.09846696,-0.42252898,-0.18289608,-0.09905091,-0.23270819,0.20781142,-0.22894822,0.16535166,-0.2617625,0.66085184,-0.19540763,0.058356866,-0.25926834,-0.434456
GCT,0.42245463,1.1846163,-0.7155953,1.5131406,-0.013511725,-0.3562834,-1.5187571,-0.3112619,-0.73810524,1.4148006,-0.5179307,-0.40479937,0.95320565,1.4770502,-1.7308422,0.25069225,-0.24361162,0.09978399,-1.4444782,-0.45593944,-0.4431761,-1.100892,0.786813,-0.73907727,0.4546997,-0.21229474,1.920514,-0.11421442,0.75185275,1.4477854,0.34707385,-0.90782034,-2.4009848,0.36397362,-0.947736,-1.9179256,-0.33364734,-0.30519512,-0.5731072,0.19978516,0.31268582,0.17933227,0.5849985,-1.0694327,-0.29996735,0.9122288,-0.5169339,-0.2721526,-1.7548087,-0.3613862,1.3773814,0.22174801,1.1081198,-0.7361789,0.7700383,-0.04366762,1.5491151,0.49806485,-1.072873,0.27892098,-1.2043787,-0.124539636,-0.9034189,-0.65408945,-0.3731031,-1.0977848,1.7520726,0.8262969,0.34193236,-0.6590522,0.29380822,0.50790864,-1.6827743,1.1680273,0.43620312,-1.223904,1.1450558,1.3081703,-0.8651464,-1.219771,-0.5055978,-0.43149775,1.4565998,0.06511837,-0.76309925,0.9945265,1.3531764,0.39427218,1.0840617,-0.01447181,-0.5971152,-1.4663388,0.9452006,1.3618113,-0.70628434,2.3313878,-0.9874753,0.26481125,-1.4924625,0.8014946,2.396805,0.8197981,-0.5301367,0.46449727,-2.0081508,2.2212803,0.59579575,0.32250008,-0.32881126,-0.008953874,0.8538542,-1.8168687,-0.61082447,-0.62654734,0.61312735,0.025662787,-1.4633988,0.35038412,-1.4393675,-0.3309532,0.34785837,2.3062143,-0.3499828,0.30827704,-1.4552965,-0.8017303,-1.6601129,0.6522004
SW1573,1.3881185,-0.99387646,0.18801409,-1.2959875,-0.5099299,-0.2943794,-0.62934995,-0.56911653,0.5731804,-0.57311547,0.29571596,-0.2723603,0.47163656,-0.29531953,1.0917891,-0.84545374,0.44898507,-0.4477108,0.29133037,-0.34209362,-0.49658385,-0.33097285,-1.1462222,0.63948566,-0.18407056,-1.126438,-0.08618128,1.0603508,-0.19386536,0.37506709,-0.054602493,-0.058066044,0.7232088,0.37052026,-0.43226686,1.0094181,-0.86825013,-0.03988845,0.21894623,1.137384,-0.65568364,-0.13629131,0.49585277,-0.2976736,0.7438451,-1.2810087,1.330547,-0.050261553,0.55991036,-0.6189599,-0.90887827,0.09856433,0.11226893,0.42546028,0.66598105,0.54775846,-0.08212513,0.76595265,-0.968297,-0.42618543,-0.12964693,0.26437536,-0.842874,-0.20111759,-0.8675161,1.2623245,-0.6904422,0.50689346,1.4026281,1.3920882,0.2690809,-1.0145755,0.17507328,0.39276487,0.9872369,0.5713058,0.087855175,0.4665511,1.7824152,0.06590637,-0.966552,-0.12358731,-0.727973,-0.043610685,-0.90316635,0.5736208,1.0120811,-0.76265943,0.47691116,1.2883985,0.43135265,0.06212183,-0.24806568,-0.20907734,0.96448934,0.09674711,1.1497692,-1.1434829,-0.18879616,0.35594684,-1.0357192,-0.24001317,-0.1683519,-0.8491614,0.46892583,-0.85219455,-0.46724367,-0.21497,0.25746205,-0.53079027,-0.23338228,-0.14751264,0.3179263,0.5392564,-0.46862233,0.21277896,-0.042167693,0.28606305,0.3472088,0.23436514,0.13482323,0.1242269,-0.44912285,0.8019477,0.16083276,-0.13646305,0.08403633,0.081309125
WM266-4,0.92226154,0.5544561,2.530256,-2.2923994,0.40800607,1.134289,-0.13646546,3.421396,-0.36654076,0.24712278,0.12106283,0.67125607,1.2489314,0.004647307,-2.1814332,1.5405278,-2.7108612,1.4626122,-0.4308451,2.7822027,-1.394637,-0.02916538,1.0398433,-2.7704816,-0.5602192,-1.413161,1.2308139,0.03571864,-0.9825037,-0.39972958,1.6903512,-1.2763498,0.22877483,-0.8665182,-0.48994118,-1.7835807,2.315923,1.1941733,-1.8568472,-1.0127339,-0.64983433,-1.3633195,-0.9506011,0.3786949,0.9773182,-0.887047,-0.96840805,0.35311586,0.4283011,2.974354,0.82814807,0.8034177,-1.0741972,1.231501,-2.3522344,-0.77260226,0.5412979,-0.16794002,2.09178,0.7217766,1.1367608,0.71344006,-0.56956756,-0.80142486,-2.6183517,-1.7166994,0.25676793,-0.053003147,-3.361629,-0.68600404,-2.6883802,0.54349893,-0.36783975,3.028322,1.7556762,2.521475,0.77370006,2.781745,0.50295454,1.6244284,-0.59809625,0.07127612,3.8011446,0.0038616832,0.33661553,0.079929814,-0.016910985,-0.32933986,0.817375,1.1187441,0.5784651,-0.6199916,0.72077984,-1.6479025,-0.4397691,0.074718915,0.13161008,-2.569567,1.0015329,-1.2316116,-2.0043972,0.061003283,0.005903654,-1.1328814,-1.8169749,2.8952432,-0.93779296,-0.4639731,-1.2183723,-3.0160043,0.37854427,0.21608682,-0.30587035,0.49670103,-1.296199,-1.5407394,2.121404,0.48250246,0.22424695,0.1071952,-2.3638012,-0.3013268,0.12926123,1.1695343,1.8628539,0.8915695,-0.57343936,0.9430709
HT-55,0.42464978,0.581924,0.34449595,-0.43545517,0.2790327,-0.24065307,0.23764008,1.1572667,0.99835527,-0.590663,-0.70076406,0.4435842,0.0026100166,-0.6059479,0.69179857,0.48398566,-0.4449134,0.7454284,0.05144401,0.7578284,-0.43643582,0.5901575,0.34845027,-0.26047283,0.41940722,-0.61079425,1.7917818,0.3895566,0.32158193,-0.6819823,-0.039108366,-0.21655938,-0.46069235,-0.48926175,-0.5895579,-0.29337507,0.29695994,-0.17437464,0.229002,-2.5611439,0.20133518,-0.5738836,-0.24810104,-0.39203665,1.9361427,-0.22339323,-0.25232282,1.6626184,0.8454373,1.0084639,-0.3881685,0.89170897,-1.4194468,1.0724239,-1.8459897,-0.6090905,-0.8413491,0.43723997,0.6917441,1.9038169,0.7168414,0.44159234,-0.57985634,-1.0827119,-1.0557747,-0.36093697,0.06278627,0.42938557,-1.3201776,0.4010318,-0.8013819,-1.1120589,-0.9380558,1.0363395,1.5768548,0.9212923,0.33859506,1.3411216,0.0850198,0.94124115,-1.4824318,-0.25152075,2.117115,-0.38195986,-0.5133311,1.2547534,0.7965994,-0.56132835,0.7835207,1.0121195,0.7014218,-0.22111455,-0.9949397,-0.71455204,0.0087484475,0.10103804,1.1562084,-0.98935837,-1.430449,-0.37302056,-0.6553536,-0.43567953,0.06480659,0.36526948,0.23762627,0.07147908,-0.16255471,-1.1366143,-0.2500837,-1.7902882,0.06353822,0.29085305,-0.50937325,1.0519339,-0.7935705,-1.3926564,1.3738643,1.1106803,0.4121614,-0.4230697,-0.6564411,-0.08499622,-0.73200554,1.5601053,0.9801477,1.1827576,0.39999038,0.5403135
IPC-298,-0.12933482,1.1201322,-1.420292,1.0828013,-0.33709076,0.1746839,-0.30033112,0.1413596,-0.17756827,1.5285754,-0.97614855,-0.15904331,0.08108365,1.4337525,-0.6071789,0.29536447,-0.69838595,0.9656041,-1.1661098,-0.0065769823,-0.62128913,0.27305007,1.4447967,-0.043233328,0.9859198,-0.2471565,2.3425589,0.45600215,0.28114036,0.11451181,0.059745684,-0.26845545,-2.4123037,-0.1710662,-0.72466505,-1.4940014,-0.36096522,-0.70138353,0.5531361,-1.7058245,0.46602774,-0.3698196,0.49839452,-1.5536582,0.33893636,1.1314067,-0.8496347,0.7198576,-1.1205742,0.3534325,1.052825,1.1758463,-0.48139727,-0.3021248,-0.1902569,-0.48142377,0.116479866,0.74147433,0.67531615,1.191206,-1.0846735,0.099840455,-0.5741978,-0.7002677,0.11516884,-1.3106382,1.1439534,0.6857375,-0.34427726,-0.8876229,0.15045589,-0.024827799,-1.6872363,0.50711864,0.8845885,-1.2416815,0.80831915,1.4955631,-1.7845981,0.25072703,-1.1534721,-0.5147655,2.442934,0.06125398,-0.5330887,2.150188,1.3213662,-0.49018562,1.367352,-0.2129388,-0.8444462,-1.1715373,-0.27787727,1.3088379,-0.548057,1.7841551,-0.8379167,0.82820046,-2.4801662,0.8041409,2.6599433,0.6137291,-0.92666316,1.0490808,-0.3239113,1.9739903,0.94209915,-1.4845918,-0.12145951,-0.28266615,1.2109054,-0.81207067,-0.6623933,0.10504175,0.26016238,-0.5761187,-0.37100855,0.54681504,-1.1024476,-0.46641874,-0.05399157,1.9552015,-0.88624614,0.8585154,-1.0556208,-0.4853643,-1.1554618,0.15338297
TT2609-C02,-0.112782806,-0.3553983,-0.95943797,-0.03932497,-0.4541957,0.623961,0.13788344,0.25280198,0.0031210333,0.462847,-1.0543517,-0.15792778,-0.5950061,0.33728135,0.5219944,-0.36432478,-0.70922166,0.8313593,-0.30128652,-0.44120464,-0.2813094,0.10379957,0.022717506,0.8740465,0.14160869,0.2599705,-0.17316401,-0.0011807401,-0.8101319,-0.11136788,-0.23408744,-0.21717182,-0.38360423,0.50224453,0.11777153,0.63516027,-0.07129773,-0.13540682,0.8497417,-0.18475531,0.2671233,-0.17629528,0.026744004,-1.2046596,-0.0025494546,0.26335058,-0.03526018,0.58499813,0.6792753,0.29794168,-0.119812146,0.470693,-0.8049314,0.049773037,0.44470188,-0.16538945,-0.5144517,0.8155179,0.47081766,0.28477126,-0.019287888,-0.17946003,-0.2838122,0.5407105,0.4978427,0.3856937,0.39914334,0.093651004,0.09017122,-0.044752188,0.11075336,-0.037031557,-0.10046504,-0.730565,0.32055762,-0.7286017,-0.5898564,-0.032846943,-0.5794704,0.60900027,-0.63775486,0.4708238,0.6696121,0.23465973,0.25283837,0.7582896,0.63721853,-0.59363645,-0.3045046,-0.6122301,-0.19371931,0.39500377,-0.97011834,-0.01900998,-0.20706433,0.14309955,-0.34962073,1.1792091,-0.22160433,0.20216736,1.5143758,0.06273398,-0.78768855,0.7031674,0.7859658,-0.40116537,0.4362582,-0.5195114,-0.41829985,-0.08521282,0.09068263,0.5275025,-0.600191,-0.017367752,-0.52536863,-0.73523235,-0.014159689,-0.0444071,-0.55248046,0.18255302,-0.52250415,0.7054937,-0.31043532,1.0305289,-0.44625726,0.005661523,0.0455462,-0.30149055
MHH-NB-11,0.53868943,-0.59644544,-0.37472224,-0.6020778,-0.25004774,0.31671494,-0.15449783,0.020801973,0.12208336,-0.043019377,-0.4427586,-0.17013416,0.026514797,-0.11318209,0.5953855,-0.42784363,-0.23553662,0.22949126,-0.1221831,-0.3412773,-0.26911986,-0.25270993,-0.38251925,0.48881269,-0.19029357,-0.31922162,-0.14385882,0.20067793,-0.57486147,-0.028039694,-0.0978606,-0.2673439,0.1336633,0.31874478,-0.066182345,0.6546039,-0.16531447,0.22029544,0.30225015,0.4141078,-0.1565168,-0.17968547,0.0670141,-0.6760358,0.3642048,-0.4615502,0.50838774,0.08435659,0.6010794,0.037829384,-0.29300043,0.1324601,-0.012081772,-0.08888911,0.50496155,-0.039515145,-0.14952846,0.69961786,-0.29289922,-0.021706551,-0.050722867,-0.103099346,-0.6152718,0.24354543,-0.077076755,0.6945562,0.06190109,0.23361161,0.33407944,0.53614116,0.12890679,-0.23784785,0.065439224,-0.10260549,0.4959966,-0.006070474,-0.383951,0.078950986,0.49238712,0.1339111,-0.6357559,0.3817108,-0.0064286124,-0.0048142597,-0.25199848,0.4482339,0.6515533,-0.5445885,-0.15683797,0.121729255,0.13422121,0.24745275,-0.34838465,-0.09192993,0.07797698,-0.1249763,0.26516458,0.17863178,-0.006822035,0.19916297,0.24198304,0.00548454,-0.4410037,0.16058363,0.36780506,-0.43911126,-0.120576434,-0.048198003,-0.1277617,-0.41456717,-0.16657439,0.16677564,-0.15838654,0.07988874,-0.45869547,-0.45009735,-0.07128563,0.119316906,-0.19020398,0.27820328,-0.2957801,0.33721676,-0.2629594,0.84117824,-0.13422334,0.006929693,0.016498499,-0.06972611
AML-193,-0.23841324,-0.31137124,-0.37055954,-0.2561088,-0.2091651,1.0595276,0.021232037,0.9721828,0.2635283,0.36618713,-0.96356326,0.13882408,-0.601332,-0.082509026,-0.0111940075,-0.031475313,-0.9900255,1.4046416,-0.38556045,0.31079835,-0.061215468,0.57179713,0.8646551,0.3016279,0.037372593,0.121266946,-0.11888166,0.10446611,-0.54219395,-0.53462607,0.20202321,-0.1013053,-0.76670635,-0.37354162,0.123687916,0.26243046,0.03467761,0.23141849,0.9705944,-0.77949363,0.50860345,-0.7734796,0.0076629077,-1.169592,0.24396044,0.012619995,-0.5182464,1.1000324,0.30275232,1.0620389,0.31663427,0.56021225,-0.85296446,0.027638255,-0.24446642,-0.63042945,-0.5267783,0.45690432,1.2054874,0.32951772,0.1153629,-0.105382025,-0.044845644,0.014162365,0.4099513,-0.36089587,0.20613751,-0.13955419,-0.6241913,-0.22862384,-0.36998543,-0.14210252,0.09243514,-0.21573773,0.40096563,-0.17981836,-0.33889258,0.31470525,-1.021834,0.76634365,-0.7814632,0.43778586,1.2738903,-0.021350875,0.52044535,0.83884686,0.7004883,-0.8388016,-0.15173061,-0.09464332,-0.11902637,0.5396726,-1.2098713,-0.13892075,-0.22733508,0.14328939,-0.39734504,1.2498099,-0.012430333,-0.2837069,1.1012615,-0.17664215,-0.4586893,0.601455,0.956591,0.32327306,-0.24782595,-0.7901944,-0.3520744,-0.503337,0.13193665,0.40005413,-0.4655784,0.61314446,-0.6506601,-0.6169176,0.5090756,0.24922338,-0.7299372,-0.45353007,-0.76762104,0.7882947,-0.21125823,1.0863957,0.24711318,-0.109418094,-0.32356665,0.17103262
EN,-0.029448684,-0.11726776,1.027041,0.43555054,0.6084351,0.42859018,-0.44993,0.8365509,1.1556981,-1.4846022,-0.8360293,0.66493946,-0.5387775,-2.313665,-0.1305283,0.25142455,-0.13955773,0.8074931,-0.22275409,0.7290789,1.1245672,0.6972302,1.0682583,-0.46843365,-0.20996109,0.19823833,0.63417673,-0.2782902,1.3752716,-0.51913375,0.38309118,0.1785517,-1.6027792,-0.6537578,0.13451347,0.24647558,-0.029824322,0.41495317,1.1023167,-1.9212397,1.3050808,-0.855649,0.053910714,-0.472391,1.3302222,-0.17067675,-0.76867145,2.2382627,-0.048564404,1.6351453,0.97122705,-0.61318696,-0.3367934,0.234743,-0.78460556,-1.1722504,-0.13917512,-0.4085522,0.2886389,0.79109,0.3191204,-0.6014039,-0.19093071,-1.1641511,0.09576523,-1.0659378,0.4282028,-0.55880916,-1.1252295,0.4422825,-0.82676935,-1.0522507,0.23336574,0.47134334,-0.16098121,0.9331815,-0.10486067,-0.4429317,-0.72413725,-0.69211984,-1.4066172,0.69803655,1.0285457,-0.65595216,0.006242372,-0.065926105,0.4802391,-0.6029339,-0.19973704,1.2175131,0.79946434,1.0638484,-1.4233843,-0.4134331,-0.4225235,0.16778697,0.6882064,0.8175681,-0.20348635,-0.7353033,-0.21669662,-1.0173435,1.0427293,0.2068124,0.2165502,-0.18748651,-1.3069491,0.13173856,0.39029244,-1.0604992,-0.39407903,-0.7799965,-0.41820288,1.9963968,-0.49510807,-0.059199654,0.44099972,1.2146744,-0.27220678,-1.6877183,-0.15301535,0.73914385,0.22242473,1.2477999,1.0284629,0.07543046,-0.5200962,1.3133134
SU-DHL-4,0.4427593,-0.41881907,-0.6830563,-0.11436222,0.013087481,0.2570374,-0.00572088,-0.014397513,-0.19440493,0.17614733,-0.6125692,-0.069556884,-0.2959501,0.07443884,0.42566434,-0.20639397,-0.22858872,0.3187166,-0.28900898,-0.40462008,-0.11843364,-0.2250093,0.0018862784,0.4163529,0.09272377,-0.04612006,-0.23804224,-0.12345958,-0.3931715,0.21470426,-0.0021201167,-0.1756471,-0.11250497,0.14854108,0.10988268,0.3521472,-0.18611416,0.047576293,0.2565414,-0.018364904,0.12536651,-0.038927592,0.03713932,-0.5147926,0.100888826,0.061045367,0.121188976,-0.006257592,0.35302722,-0.036781263,0.1355957,0.00245445,-0.064640924,-0.2860683,0.42980286,-0.050217133,-0.2111253,0.3632228,0.01148575,0.07137507,-0.41306797,-0.31502637,-0.571812,0.16709714,0.11650651,0.13515201,0.1895828,0.028194044,-0.102933645,0.027325992,0.13315356,0.06644623,-0.013871208,-0.2976099,0.12181829,-0.20455645,-0.2895854,-0.10712018,-0.11973682,0.18966562,-0.52908874,0.46182764,0.07263848,-0.23607852,-0.26309505,0.43541348,0.45857114,-0.305815,-0.20412117,-0.03529717,-0.11264655,0.18079442,-0.2664004,0.17990798,-0.013666355,0.08845591,-0.021071587,0.16914934,-0.11406054,0.3976296,0.41063398,0.1093243,-0.30475673,0.19567943,0.25305268,-0.2830569,0.020227544,-0.0014159922,0.12922256,-0.23812973,0.091149695,-0.032536,-0.38013148,-0.112249404,-0.08210153,-0.45686048,-0.12560308,0.086544946,-0.27985004,0.21144366,-0.2554573,0.22538966,-0.26139,0.6020387,-0.35102645,0.02390889,-0.22250772,-0.26936346
LS411N,0.105727226,1.6805993,-0.4862225,2.0959778,0.27143374,-0.6796865,-0.9183005,0.2091291,-0.5523005,0.9140477,-0.8702831,0.15121567,0.33011067,0.72366506,-1.6294645,0.9270976,-0.40051824,0.45121542,-1.3048648,0.1961055,0.013930388,-0.65123516,1.6571255,-1.0661913,0.6774702,0.3246806,2.3907874,-0.5443348,1.2996583,0.9285487,0.45099503,-0.62629426,-2.8031769,-0.2533041,-0.5092417,-2.2937274,0.052854445,-0.575144,-0.47896707,-1.9752076,1.0569285,-0.15597293,0.19035785,-0.5718703,0.24708834,1.5387223,-1.1531409,0.6549571,-1.8495599,0.630533,1.9689791,0.01260886,0.38873887,-0.60176545,-0.41659313,-0.65454435,0.9393443,-0.108654656,-0.33845586,1.376527,-0.6669118,-0.53493226,-0.93799067,-1.2522221,-0.09050444,-2.0023606,1.8105625,0.5239885,-1.304938,-1.1217338,-0.23505032,0.25707838,-1.8165312,1.3237417,0.16470146,-0.6872384,1.1929523,1.1788578,-1.9115654,-1.0900722,-0.76677996,-0.40879965,2.2904232,0.07259257,-0.7259615,0.87557995,0.6388647,0.6052452,1.0497078,0.19043516,-0.45783046,-1.2005845,0.565389,1.3019358,-1.1284655,2.0579238,-0.7119179,-0.036102146,-2.0329778,0.48070884,1.9264243,0.5798838,-0.010017314,0.7659123,-1.9625194,2.0893478,0.4490565,0.12183432,0.14853877,-0.7370692,1.0616243,-1.6422637,-1.044632,0.12372316,0.74029994,-0.42693317,-0.72905344,0.67033035,-1.1412075,-0.8293649,0.17058966,1.7868911,-0.30202442,0.524599,-0.8111695,0.055628017,-1.6064682,0.6006707
NCI-H2122,0.5145605,-1.0213366,-0.1175914,-0.24750718,0.4237706,0.5045934,-0.31454316,-0.15061097,-0.03632037,-0.47460836,-0.35869503,0.14635593,-0.44529396,-0.9278915,0.45848784,-0.27536035,0.0066730906,0.13517329,-0.23554361,-0.14665209,0.39649472,-0.14263357,0.14985998,0.38056484,-0.31588846,0.068137415,-0.83107173,-0.1424528,0.055335145,0.23933211,0.3081841,0.11767833,-0.005803534,0.036819614,0.22765516,0.7859516,-0.3077698,0.2277236,0.43725407,0.3389002,0.20856336,-0.15046887,0.091261685,-0.15912452,-0.03951341,-0.20384702,0.2663164,0.17947724,0.14984483,-0.064841054,0.45011312,-0.5868254,0.59386355,0.060700115,0.51040745,-0.14175397,-0.04443827,-0.14874673,-0.056556713,-0.51208407,-0.3278533,-0.6510118,-0.33374023,-0.070840776,0.083221614,-0.021629743,-0.17590672,-0.5394232,-0.071126714,0.25589362,0.23549697,-0.050557103,0.64749724,-0.39306328,-0.4167547,0.30772236,-0.30954608,-0.71514565,0.0051633576,-0.25170365,-0.51589304,0.83503634,-0.57789695,-0.43724495,-0.2508654,-0.2258888,0.20475103,-0.3990507,-0.5872319,0.5832181,-0.032311812,0.85170203,-0.3822364,0.0016545411,0.19465989,-0.24194442,0.355757,0.07486549,0.3879742,0.16925427,-0.45772347,-0.17955652,0.36319357,-0.39995512,0.43446136,-0.6900143,-0.650766,0.39519382,0.63192755,-0.15574765,-0.08333884,-0.5142347,-0.10991618,0.31697977,0.017425854,0.27332106,-0.11850954,-0.099454254,0.039653037,-0.28097895,0.10905783,-0.103766255,0.036540736,0.35800922,0.2754509,-0.21393746,-0.45795348,-0.2596741
UM-UC-3,0.6999414,-1.0387108,0.12097895,-0.6145871,0.1851446,0.65491736,-0.35607135,-0.16553871,0.18477452,-0.5347799,-0.12003645,-0.013148096,-0.07683919,-0.84887064,0.45091766,-0.53739053,0.020269617,0.05243614,-0.09739654,-0.16153413,0.043050602,-0.2043845,-0.308298,0.34448546,-0.32012573,-0.2589183,-0.6416744,0.19965252,-0.085761234,0.24983323,0.22612281,0.10208367,0.19686502,0.065361485,0.1369991,0.9147904,-0.3487735,0.3921565,0.32852972,0.82166535,0.07806471,-0.1781973,0.09555708,-0.31648895,0.14780618,-0.71021116,0.59078336,0.1469767,0.32900485,-0.053840082,0.039652105,-0.46387812,0.43802664,-0.3534248,0.5521489,0.06404659,0.06649567,0.17111397,-0.43079004,-0.55658317,-0.17909542,-0.42936513,-0.5946335,0.023732837,-0.10108501,0.4948014,-0.2129747,-0.31475374,0.347565,0.69236565,0.23658109,-0.16445392,0.6190287,-0.09234694,-0.05982808,0.46477562,-0.37447813,-0.43004593,0.58206105,-0.25891715,-0.6231763,0.60820186,-0.60661733,-0.31063062,-0.2660031,-0.19903731,0.46510905,-0.50066775,-0.49151766,0.6381167,0.46572793,0.6961946,-0.3004931,-0.16939737,0.30628848,-0.14776592,0.3844633,0.1404412,0.6124484,0.0114704585,-0.50223476,-0.17022276,0.18003082,-0.31643924,0.4387083,-0.74239796,-0.8564933,0.41544288,0.3428446,-0.2364548,-0.28975293,-0.25013694,0.14213258,0.4519682,-0.29819697,0.19481164,-0.10439424,0.079937965,-0.03805909,-0.15267526,-0.039363775,0.1253309,0.042613864,0.57249594,0.3437283,-0.25883004,-0.21560459,0.10727126
