,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E60,E61,E62,E63,E64,E65,E66,E67,E68,E69,E70,E71,E72,E73,E74,E75,E76,E77,E78,E79,E80,E81,E82,E83,E84,E85,E86,E87,E88,E89,E90,E91,E92,E93,E94,E95,E96,E97,E98,E99,E100,E101,E102,E103,E104,E105,E106,E107,E108,E109,E110,E111,E112,E113,E114,E115,E116,E117,E118,E119,E120,E121,E122,E123
KP-3,-0.19486094,0.1905908,-0.11275908,-0.5581218,0.28565443,0.020731913,0.07208974,-0.2598413,-0.06939375,-0.35713285,-0.04264681,0.09482193,0.21705903,-0.11760301,0.036604103,-0.29158825,-0.14691035,-0.06268755,0.3612204,-0.47158903,-0.037149034,0.054380603,0.3445204,0.35471037,-0.275398,-0.21025781,0.42742884,0.2562695,0.1850846,0.5058208,0.25607494,-0.0099481605,-0.36060333,0.12631822,-0.2233077,-0.4154644,0.306152,-0.23596802,0.34892356,0.16093215,0.16036439,-0.08599135,-0.27729005,0.06409968,0.032495674,0.067152284,0.18001509,-0.25916636,0.46760303,-0.2532577,0.12866747,0.058410484,0.009247251,0.026596118,-0.014589766,-0.31657523,-0.05421113,0.38428205,0.024467705,0.12958947,-0.5592553,0.050792646,0.091008164,-0.35572898,0.37707385,0.32971275,-0.0218192,-0.1182746,-0.0018584542,-0.26447845,-0.24882272,-0.17169578,0.08605425,-0.24281329,-0.00023745652,-0.08964853,-0.48144352,-0.34870282,0.04615731,0.1109349,-0.04894107,-0.39286605,0.42929608,0.18639445,0.031368673,-0.49332052,-0.119360656,0.03590472,-0.1612261,-0.37480444,0.15207252,-0.016529575,-0.015929807,0.45551962,-0.25599742,-0.20976052,0.13734749,-0.42272985,0.24102719,-0.1517121,0.051298276,-0.10703117,-0.10250893,0.07670273,0.015560184,-0.15454437,0.058383666,0.0821272,-0.2555288,-0.22621109,0.2237969,-0.58227223,0.11216889,0.25604042,-0.27067465,0.25722495,-0.30056143,-0.05994305,0.2265222,0.3592505,0.03720429,-0.35758245,0.17359051,-0.14143127
SEM,0.92394453,-1.6304151,1.7072287,1.5317966,-0.5596356,-0.10559075,0.41121203,-0.45760646,-1.0978647,-1.0475422,-1.2095851,-0.35723045,1.4408748,-0.09663079,1.9149084,-0.7246172,1.0616343,0.8801146,-1.445577,0.4392243,-0.34522378,-1.1165795,-0.44606093,-0.070035875,-0.84652483,-0.3750876,0.50733036,-1.0042835,-1.2421302,1.8813431,0.029530982,-1.2102069,0.22643484,-1.1027565,-0.32427335,2.0738587,0.96670896,-0.048825115,-0.4068467,-0.52033573,-1.9690213,0.9186448,-1.3935393,-0.8739658,-2.0737271,2.2351277,0.03460021,-2.4964225,-2.2194588,-1.4530337,-1.8863951,0.6990248,0.7431968,1.7554499,0.47390997,1.6731964,0.33525577,1.4838198,-0.6845781,-0.43153867,0.5773405,-0.7092419,0.8319806,-0.41016567,-0.09942812,0.18801327,0.60012907,-0.23879781,1.4683825,0.59559286,3.7849295,3.4439304,-1.175477,0.5338334,-0.6476412,-0.0068229493,0.38024503,0.07489383,1.2837249,1.1046885,0.6801586,1.8456748,-3.0693843,1.5688552,1.5277405,-0.27543718,0.8256559,-1.5846338,1.5713195,1.7094052,2.4014127,-1.4664243,-0.0027593002,-1.4994655,-0.58269715,-0.36528012,-1.4180031,-1.1028717,0.6850255,-1.4603978,-0.6273692,-0.23954186,-1.842425,1.3255008,0.959383,-0.89975166,-0.17467734,-1.5736287,0.36135575,-2.438541,0.78943306,-1.3286994,-0.9414428,0.18782671,-0.46084493,-0.7680058,0.49299008,0.6683972,0.9981197,-1.3696722,1.2344142,-1.0028713,-1.0662299,1.1373075
U-138MG,0.16456392,1.3439134,0.087524675,0.58496976,0.42229393,1.1172132,0.67293537,0.64937025,0.53075695,0.9129257,-1.0631427,-0.8750377,0.4919482,0.32171196,-0.33810288,-1.0514435,0.6483782,0.58624697,-0.16574776,0.38169894,0.58485353,0.7786628,1.0777165,0.27682403,0.68063366,-1.9171721,-0.010665845,-0.022070333,-1.3863881,0.25345898,1.3695204,-1.3206503,-1.268125,-0.01228383,-1.2063909,-0.8637989,-1.7245032,-0.39186728,1.1749421,-0.40043166,-1.4589111,1.2975643,0.69362664,-1.3962172,-0.3866153,-1.0520966,0.4857629,-0.69292027,0.50206465,-0.64481425,0.8747223,0.36246526,0.1344522,0.35751072,0.46410725,-0.2767218,0.746887,0.24423589,-0.04402799,-1.6724068,-0.81574357,-1.1125002,0.14568296,-0.20360538,0.5664153,0.51992273,0.35797074,0.2733462,0.5849187,-1.1083031,-1.4577698,1.0148618,-0.49256393,0.4892403,0.40967497,-0.38646775,-2.104859,-0.22947443,-0.0017138215,0.41008553,-0.10011953,0.59983015,-1.7771171,-0.68404,0.8209243,-0.81805915,-0.9696315,-0.83422947,1.0672122,-1.3471451,-1.7263943,1.3130503,-1.9895949,0.900463,-0.17313533,-0.34269515,1.5671003,0.82109725,2.3008723,-0.8360924,-0.32698724,-1.4524952,0.24224569,-0.12825114,-0.5032095,-0.28779995,-0.42050752,-1.337087,-0.3341374,0.64711136,-0.00811595,-0.91049,-0.10808668,0.015946856,-0.12826377,-0.009364929,0.46683902,0.2863748,1.2503539,-0.9478381,-0.6572185,1.2615746,0.15159482,-0.6888261
HuH-6 Clone 5,-0.45635048,0.4195221,-0.09057867,0.11139527,-0.21978906,0.54495996,0.03404607,-0.38329637,0.14577343,-0.02394924,-0.54516697,0.066110834,-0.72661114,0.26736173,-0.18973193,-0.12590633,0.03405416,0.21053989,0.19971317,-0.20683199,0.15737107,-0.2576519,0.37215158,-0.6495967,0.47301412,-0.13522059,-0.0059532635,-0.44147474,-0.2178929,-0.02799065,-0.20542538,0.109994665,-0.9810883,0.15153562,0.04593402,0.46169746,-0.10479155,0.20607159,0.1633327,-0.31900918,0.1307106,0.21511698,-0.5200781,-0.07858717,-0.098885,-0.36407784,-0.11245805,0.13328981,0.53579724,0.043899145,0.03251122,-0.17084448,-0.27427953,0.010685774,0.10182322,0.06265964,0.5717335,-0.014135003,0.33587417,-0.14304562,-0.21713392,-0.6797199,-0.055585563,0.0038188174,-0.23909882,-0.02809834,0.2539976,-0.1091779,-0.520642,0.3675139,-0.17489134,-0.40437606,0.17350858,0.22129871,0.37665498,-0.33268943,-0.4016546,-0.6509655,-0.33984494,0.31630158,-0.025449645,-0.63900244,0.4294351,-0.14042751,0.28760666,0.04504452,0.06560096,0.59275234,-0.0016961172,-0.22061843,-0.1499084,-0.49498397,0.020730428,-0.03677982,0.1681751,0.15122752,0.09203318,-0.2434442,0.38078865,-0.0126612075,0.22508267,0.116822615,0.26517397,-0.090580925,-0.3173017,-0.5927376,-0.0778923,-0.092090026,-0.18574296,0.18288879,0.045035955,-0.2509971,0.5076205,0.12095936,0.07432699,0.42379153,-0.51765263,-0.48270267,0.3679277,0.07374573,-0.22527978,0.14248975,0.386072,-0.23707813
NCI-H2085,-0.2842746,0.5442599,0.041004926,-0.6720541,0.009422079,0.06649754,0.025889255,-0.38835588,0.009708894,0.17120765,-0.15142456,0.20257898,-0.2840147,0.13258454,0.0074936794,-0.62488824,-0.1526146,-0.4409741,-0.029283695,-0.23957393,0.17397998,-0.23418729,0.48043352,0.031809855,-0.12858632,-0.030188208,0.11219399,0.3157969,0.30816406,0.5354664,0.42682925,-0.14766367,-0.6926591,0.17886983,-0.35654056,-0.8634629,0.15475659,0.078737944,0.22835517,0.10673888,0.2888675,-0.356813,-0.037908442,0.30855796,0.12268676,0.16739926,0.23606178,-0.018941231,0.8370343,-0.30611476,-0.15415876,0.039752185,-0.30576083,-0.36573032,-0.18772173,-0.43196505,-0.18376239,0.14497797,-0.04347305,0.057571784,-0.54697675,0.06332782,-0.12363813,-0.35685563,-0.06856333,0.22264428,-0.4431282,0.07009879,0.13239624,-0.43300748,-0.5084553,-0.4410157,0.47629982,-0.070640445,-0.21662755,-0.35071304,-0.22929779,-0.3539977,0.09730639,0.050540242,0.059872232,-0.7043981,0.61204284,-0.15697187,-0.23155323,-0.69484097,0.05039442,0.37957233,-0.40634173,-0.5770728,0.19258341,-0.3442027,0.27226213,0.6461611,-0.29222578,0.05223085,-0.17276345,-0.37372178,0.23945712,-0.03153286,0.24538657,-0.0017043613,-0.370709,-0.046634626,0.06754221,-0.3002801,0.12958056,0.47744676,0.028279472,-0.10257333,0.09804918,-0.43345147,0.15612495,0.17957945,-0.11086791,-0.11415829,-0.29509985,-0.3481465,-0.62866324,0.6283886,0.27740654,-0.47092098,0.17073597,-0.27612185
HPAF-II,0.19934504,0.34896955,0.11529625,-2.17463,0.6904617,0.14739922,0.30538207,-0.09992911,-0.14451127,-0.5110448,0.016994342,-0.21361515,-0.23504087,-0.11140504,-0.081082925,-0.877458,-0.34657,-0.38501504,0.37255567,-0.9675897,0.0818447,-0.5069274,1.0081884,0.7549307,-0.31766063,-0.067562506,0.6205953,1.0071669,0.12274564,0.62883973,0.07128297,0.09206799,-0.43623072,0.6289215,-0.9423125,-1.2230167,0.48523653,-0.2855615,0.20353569,0.7864369,1.047356,-0.9533178,-0.63097847,0.73348147,0.34219104,0.044013917,0.3439368,0.06305584,0.97851634,-0.7976305,-0.10840637,0.13678114,-0.5470688,-0.19706067,-0.34375036,-0.810666,-0.21021734,0.42076463,-0.5126358,0.6970974,-1.2573577,-0.1051103,-0.22785896,-0.5563807,0.4480571,0.7246306,-0.029620882,-0.041225407,0.03795096,-0.18811843,-0.58926845,-0.68758,0.5532015,-0.63071233,-0.55819666,-0.17846712,-0.16295415,-0.8968436,-0.10391371,0.023755345,0.24217561,-0.8124248,1.0729691,0.30245355,-0.47776666,-1.630025,-0.43361717,0.56303144,-1.2373153,-0.25547636,0.44688803,-0.7105391,0.9302485,1.2744222,-0.29308945,-0.30594808,-0.51483124,-0.8036891,-0.08649865,0.14159052,0.36260894,0.27227688,-0.020639926,-0.21876256,0.11807823,-0.70631415,-0.4377468,0.4428994,-0.21795492,-0.080578595,0.3835982,-1.4792566,0.026989387,-0.008973436,-0.67666465,-0.121775374,-0.7698242,0.06299678,-0.62169784,1.5979787,0.8760727,-1.1499134,0.43168724,-0.24683835
CMK,1.799754,-1.0900348,1.2680818,1.6972646,-0.22714627,0.48123294,0.7261691,0.5855971,-1.0725441,-0.89230275,-1.167217,-0.47131044,1.0792762,-0.1551897,1.4836316,0.12493421,0.663048,1.0206931,-0.9265455,0.29127926,-0.20220812,-0.9844262,-0.061236832,-0.070122436,-1.1058459,-0.4342164,0.4969633,-0.6440502,-1.2083725,1.7994794,-0.19026217,-1.562344,0.10863545,-0.6941741,-0.12211123,2.1030595,0.9409727,-0.4886224,-0.8833016,-0.5403763,-1.5342356,0.7171501,-0.85958576,-0.8549953,-1.6230621,1.3242613,0.34852642,-2.0764468,-1.505956,-1.1533289,-1.6712893,1.3495669,0.5389121,2.0451646,0.3925229,1.137123,0.40373388,1.2651752,-0.628603,-0.5621286,0.67282164,-0.82957447,0.4944901,-0.32214803,-0.28331283,0.072834805,0.11901428,-0.4054674,1.3325336,0.5217566,3.8171887,2.831549,-1.0065124,0.9848484,-0.3696445,0.3718393,0.26958835,-0.007165564,1.0438657,0.71769077,0.67900795,1.9939529,-2.718405,1.4384364,1.0788565,-0.7734414,0.25488976,-1.7054608,1.003142,1.5828443,2.0140607,-1.3723162,-0.4281457,-1.9528184,-0.5210136,0.04629025,-0.85299766,-0.5978008,1.1748387,-1.4138273,-0.28704455,-0.015525151,-1.2392617,0.7811839,0.76332474,-1.6273992,-0.042651065,-1.1875415,0.60853475,-2.2339563,0.50508416,-1.4326757,-0.7361434,-0.15389079,-0.40156627,-0.7957674,0.9999005,0.5797908,0.43298125,-1.5150477,1.0265346,-0.78223586,-0.9621347,1.1933383
ST486,1.1505967,-1.8034447,2.3181407,0.87055296,-0.8090988,-0.13875999,1.005859,-0.32839403,-1.3504678,-0.6396762,-1.2504232,-0.4662304,1.8681191,0.09668819,1.8574626,-1.5174762,0.9594638,0.24684946,-2.1452968,0.2188589,-0.4617718,-1.0176117,-0.3555854,0.07094818,-1.529047,-0.3898709,0.43350685,-0.51411533,-1.4026968,1.92784,0.3583917,-1.3726273,0.7649826,-1.1762388,-0.698672,1.7690457,1.2107832,-0.49518988,-0.57780766,0.27497268,-1.9475272,0.46468845,-1.663097,-0.582022,-2.2383506,1.8995934,0.19629863,-3.1911545,-2.457534,-1.521238,-2.057178,0.7396327,0.46584627,1.4815679,0.4185276,0.61825526,-0.4067952,1.123763,-0.46160892,-0.54667884,0.5316872,-0.6935527,1.4397162,-0.67739505,0.22831988,0.05214362,0.090127096,-0.22823021,1.681953,0.42348713,3.9493272,3.3077722,-0.9421337,0.4431907,-1.0303138,0.83262366,0.2585632,0.32395485,1.3822376,1.2816087,0.22290117,1.3353359,-3.0580378,1.6555164,1.1737468,-1.0044372,0.33851397,-1.2708462,0.8664292,1.611787,2.479944,-0.9908936,0.28249127,-1.5544788,-0.9898365,-0.53090143,-1.5256138,-1.3743997,0.72606677,-1.5277643,-0.4000068,0.23809421,-1.9682732,1.7952943,1.0785692,-1.1511341,-0.23078817,-1.6826198,0.54385424,-2.32335,0.7666042,-1.3904175,-1.2009254,-0.29440758,-0.39372325,-2.0664706,0.3795632,1.3675289,0.83207417,-0.5366273,1.7708207,-1.3633658,-1.69832,0.7476562
LN-308,0.11874138,0.7598726,-0.10890653,0.21285297,0.05047251,-0.021238392,-0.61400026,-0.16781767,0.29958126,0.3080793,-0.33729252,-0.0047533326,-0.24810174,0.00030690432,-0.42248353,0.1912714,0.11397457,0.03404467,0.2448546,0.37236968,0.21880855,0.05668959,0.21714108,-0.2063659,0.29079604,0.29512694,-0.2946113,-0.004557252,-0.17680952,0.12356709,0.3123823,-0.1680165,-0.40543705,0.2367365,-0.021433871,0.53821117,-0.29735216,-0.05528427,0.114676796,-0.18521221,-0.25851148,0.13292626,0.28062057,-0.0024950402,0.28883052,-0.49699378,0.06837149,0.12111682,0.65994626,0.3258554,0.24501662,-0.2155316,-0.31948313,0.035380382,0.51266366,0.35470918,0.8875914,-0.24974732,0.1274035,-0.13714126,-0.3724148,-0.5625056,-0.026129626,0.0653779,-0.054262105,0.26071712,0.12545435,0.29373458,-0.27545488,-0.2734332,-0.20021856,0.0072012506,-0.047193915,0.50896436,-0.026114684,-0.4497069,0.100578964,-0.50542253,-0.22708575,0.19793501,-0.12110035,0.4171634,-0.54881305,-0.11015053,0.47907805,-0.20873457,-0.14504758,0.40455455,0.3787714,-0.09336487,0.09734683,0.017465562,-0.0074503347,-0.18546632,0.11110292,-0.04164242,0.25532153,0.31156832,0.42499527,0.37067327,-0.27775243,-0.5783141,-0.20290267,-0.31545696,-0.23356766,-0.25929478,-0.3455172,0.13622026,-0.07926242,0.1219604,-0.0237909,-0.14742918,0.7087153,0.37756926,-0.21373796,-0.21162093,-0.14599524,-0.49702638,0.06259831,-0.4993431,-0.37587905,0.6087373,0.46777648,-0.16346158
A2058,0.09196581,-0.044115063,-0.07596925,-0.098830834,0.36210528,-0.046995882,0.21448794,0.06633137,0.5617204,0.270632,-0.16040784,0.021478605,0.07955354,-0.15517068,-0.46607456,-0.4111084,0.09611852,-0.019948963,-0.044705026,0.12447554,0.19156417,0.067471825,0.3273088,-0.010320269,0.11446347,-0.21343566,0.35497674,-0.100532696,-0.0649294,0.19607079,0.36034143,-0.16922157,-0.2946349,0.3176334,-0.27509043,-0.08388695,-0.301075,-0.09549442,0.16112551,-0.016652707,-0.21741137,0.45660284,0.08711088,-0.28622836,-0.05177011,-0.22338262,-0.14240587,-0.37724018,0.21753621,-0.12235084,0.23162602,-0.16822948,0.09133353,0.1670066,0.17993844,-0.11792463,0.38759032,-0.10997839,-0.34449401,-0.41244456,-0.14131919,-0.2660813,-0.22382738,0.06201134,-0.11153759,0.15244353,0.28159246,0.10817993,0.14241154,-0.2921095,-0.43688276,0.19679369,-0.3057239,0.2171068,0.14381978,-0.061832614,-0.46313083,-0.27262074,-0.114577204,0.14546779,-0.27441254,0.3005717,-0.55720586,-0.008902129,0.32903388,-0.32643235,-0.5494708,-0.2518572,0.099557124,-0.28051904,-0.19400871,0.106775746,-0.2300263,-0.057166494,0.15463938,-0.18974431,0.39527875,0.18176043,0.64679396,-0.07014473,-0.046163943,-0.29402566,-0.033852644,-0.046566647,-0.021164984,-0.46698385,-0.20630965,-0.08920629,-0.121827036,0.017188286,0.36591116,-0.28096148,-0.13640577,0.28535497,-0.43386924,-0.027829703,0.062219616,-0.22670293,0.31331128,-0.3603713,0.038120974,-0.0063267425,0.018867224,-0.1380029
Hs 746.T,0.25386143,0.28167802,0.3594683,-0.09758468,0.39808077,0.25050429,0.3801108,0.050152205,-0.14324754,0.17215477,-0.23618564,-0.51935613,0.33069888,0.37850526,0.15920343,-0.4213755,0.3892176,-0.1036963,-0.22903708,-0.026814036,-0.004614979,0.36683467,0.45389685,0.28568366,0.019975,-0.6420588,0.42728382,0.07310501,-0.14266282,0.22141255,0.38077807,-0.53012896,-0.67214936,0.11013507,-0.21273825,-0.4924017,-0.21856488,-0.19484702,0.46630442,-0.2278247,-0.561736,0.5077696,0.007441014,-0.2467604,-0.077509895,-0.08914623,-0.0066989027,-0.4517777,0.4225236,-0.4676952,0.078829,0.09456106,0.21285367,-0.081106946,0.09080321,-0.050780818,0.39637372,0.45472348,-0.18420205,-0.36935842,-0.33017695,-0.20106481,0.27256048,-0.22397757,0.24975945,0.12892275,0.2340122,0.054010633,0.4423347,-0.33523077,-0.19365597,0.06876463,-0.5527958,0.43217045,0.021556042,-0.28165302,-0.4801303,-0.24855128,0.13515618,0.1020197,-0.12894887,0.16575496,-0.5158563,-0.18253025,0.16454968,-0.49863464,-0.18636127,-0.39962906,0.11580976,-0.31064102,-0.32724017,0.10020006,-0.5912897,0.32806596,-0.20010553,-0.29569435,0.71480703,-0.24865556,0.633886,-0.2523707,-0.09439189,-0.7352005,-0.2102508,-0.07960888,-0.088259175,-0.120077886,0.09201513,-0.05682305,-0.25879714,-0.2508152,0.5354863,-0.33297452,0.18806054,0.29036817,-0.14411902,-0.18189901,-0.117243096,0.48955646,0.50051856,-0.4553649,0.018782694,0.01024779,0.03505237,0.10970548
KNS-81-FD,0.07770178,1.144083,-0.046242055,0.27550355,0.4748971,0.6316469,0.2646991,0.26328117,0.5826786,1.0349406,-0.7040201,-0.51385874,0.22285295,0.3450481,-0.5968802,-0.6125424,0.29449674,0.2472551,-0.14888278,-0.02956385,0.6468491,0.72916216,1.1214105,0.2424969,0.5277715,-0.8007911,0.10335338,0.15832748,-0.6479699,0.17178841,0.6556374,-0.72323453,-0.8838623,0.18361941,-0.9147416,-0.2928384,-1.0300269,-0.33267906,0.5997712,-0.20684369,-1.1191453,0.63854957,0.36711657,-1.0696045,0.25964743,-0.6472752,0.27368686,-0.047589198,0.9653322,-0.26601952,0.61935645,0.18768352,-0.2270056,0.23263857,0.80479455,-0.32123858,0.6681704,0.065823264,0.33539844,-0.96994376,-0.7286482,-1.0716624,-0.09566797,-0.1744675,0.3466467,0.49435675,-0.11682914,0.19206294,0.07133432,-0.9586766,-1.3520662,0.26352528,-0.12784165,0.51163363,0.2550625,-0.26337844,-1.2575396,-0.2540117,-0.31583384,0.20381537,-0.23596448,0.1468663,-1.004906,-0.62267154,0.5956671,-0.35858434,-0.70046204,-0.17344667,0.2544388,-0.89116234,-1.4283246,0.752037,-0.94065076,0.45873058,-0.024524676,-0.09321135,0.95537317,0.46600616,1.6926284,-0.36761847,-0.056037545,-0.86868715,0.20233491,-0.52578336,-0.31998786,-0.46705526,-0.13153183,-0.70122135,-0.26777044,0.5016621,0.0016794922,-0.463054,0.29507855,0.39695892,-0.055732258,-0.16445345,0.09380938,-0.13304037,0.51479775,-0.3973704,-0.20445082,0.93860465,0.29652047,-0.5852843
Rh41,0.10477553,0.5742696,-0.391313,0.44159296,0.23513955,0.062273767,-0.2253479,-0.08240651,0.29303953,0.37140578,-0.28053772,-0.30664194,0.10962794,-0.14530808,-0.31099913,-0.21186605,-0.04779599,-0.028027695,0.2606373,0.08031818,0.26923168,0.102215625,0.4145418,-0.12692632,0.27937156,0.06732728,-0.09143281,0.16394524,-0.20821576,-0.088642046,0.2204186,-0.33596137,-0.3744678,0.004183475,-0.008454073,0.47819036,-0.31022644,-0.13073279,0.06710939,0.09607169,-0.05605058,0.27367607,0.11760393,-0.6525056,0.13944435,-0.2165218,-0.1740227,0.079030216,0.55759907,0.044916313,0.13768144,-0.09872112,-0.3246149,0.0474381,0.38038442,0.0999478,0.42362672,-0.09850891,0.3550699,-0.18142693,-0.35388315,-0.67145246,-0.10327489,0.2955972,-0.09785786,0.068817556,0.35395464,0.117021844,-0.26907784,-0.32095885,-0.07980299,0.37102798,0.00010400452,0.20050813,0.2926403,-0.6089782,0.018989213,-0.55133843,0.061978497,0.29525527,-0.06956643,0.14356975,-0.8084228,0.11075047,0.21961752,0.061868213,-0.4453419,0.29307187,0.35397905,0.1705426,0.2829391,-0.23647185,0.008941963,-0.42628062,0.13859108,0.15107825,0.1897684,0.15642223,0.61402696,0.07033755,-0.26589704,-0.31546882,0.105482355,-0.17900255,-0.48240653,-0.46229476,-0.478291,-0.31459925,0.021974206,0.004325617,-0.018273015,-0.45304158,0.41828603,-0.10870163,-0.34705585,-0.33659366,-0.43011022,0.084013745,0.43126148,-0.42422724,0.027424876,0.11792733,0.5124895,-0.24461733
SNU-601,0.04267626,0.8890478,0.021660425,-1.8403292,0.21841916,0.03494845,0.009922958,-0.014498777,-0.17958511,-0.210636,0.23852518,0.22242948,-0.7157059,0.31316656,0.01433335,-0.50750995,-0.2592979,-0.28857595,0.26845807,-1.1197118,0.6131286,-0.9233607,0.557279,0.24925931,-0.084065855,0.6181595,0.4652691,0.5597277,0.4196197,0.27568218,-0.14791195,0.11797941,-0.66490126,0.798624,-0.65441823,-0.8813618,0.48786834,-0.061467797,-0.118687384,0.9791459,1.0654002,-0.8995641,-0.5121083,1.1573178,0.4442467,0.22625402,0.41862768,0.26197258,1.2438477,-0.38485545,0.20225792,0.28064835,-0.8695978,-0.30376357,-0.20281336,-0.6456706,-0.26887193,0.25806943,-0.18511884,0.96646255,-0.901429,-0.61331743,-0.30707037,-0.16505492,0.31657246,0.3625369,-0.36108932,0.43301293,-0.36375734,8.803606e-05,-0.5025105,-0.74790514,0.33291614,-0.33443117,-0.67817086,-0.3489415,0.055935748,-1.0489705,-0.26092398,0.34032196,0.1975512,-0.8902025,1.3104113,0.3333701,-0.61263704,-0.99116135,-0.19022468,1.0235193,-1.4610056,-0.05031868,0.56064826,-1.0737064,1.3061796,1.2159151,-0.39463142,0.047083005,-0.39307517,-0.5987992,-0.04709067,0.36804426,0.22205053,0.9027451,0.0690881,-0.3027771,-0.023475781,-0.8181231,-0.510851,0.3954576,0.062392756,0.16289367,6.76522e-05,-1.0248234,0.19486035,-0.09451233,-0.34825778,-0.05665243,-1.0677074,-0.5598621,-1.0823313,1.690731,0.7733713,-0.6929702,0.8120803,-0.33642027
VMRC-LCP,-0.30577472,1.0676076,0.090467446,-1.5884,-0.12778255,-0.20966461,0.11006412,-0.42432886,-0.018511789,-0.30103177,0.39417902,0.28740185,-0.9808535,0.023570843,0.099848524,-0.7567989,-0.081754796,-0.5187379,-0.26191825,-0.80972594,0.2711627,-1.3184892,0.6711383,0.3753577,-0.22442004,0.7645705,0.35547486,0.4284923,0.0899417,0.39603108,0.059417333,0.25949213,-0.6454984,0.5696586,-0.5348009,-1.4768553,0.33477753,0.07702307,0.18720661,1.0290097,1.0098152,-1.1406552,-0.057034273,1.1515009,0.2848658,0.017448217,0.4794469,0.35605407,1.2195569,-0.022451032,-0.06670693,0.08087978,-0.98251706,-0.81075954,-0.3550974,-0.29809156,-0.22977974,-0.012849227,0.2337149,0.8125482,-0.9518261,-0.14268441,-0.223609,-0.07888793,-0.359258,0.044585213,-0.6808346,0.4639242,-0.18791997,-0.20723566,-0.3499516,-0.88473296,1.1385481,-0.4960906,-0.53175414,-0.7897506,0.29506755,-0.8564329,-0.26003495,0.45892477,0.42356348,-1.0419701,1.4346966,0.05953039,-0.43055442,-0.7678526,0.46320197,1.1479205,-1.2194598,0.13078833,0.88119054,-0.80118763,1.3749224,0.94874084,-0.5162346,0.32385653,-0.5722991,-0.60231066,-0.2623895,0.5269631,0.9754528,0.47123745,-0.3376156,-0.37321618,-0.07427138,-0.76210654,-0.2757266,0.6203569,0.22351989,0.33095762,-0.2058324,-0.8933753,0.30838683,-0.27501932,-0.3193445,-0.48358986,-1.0161808,-0.5057064,-1.4519608,1.5963528,0.32400113,-0.84398717,0.5232264,-0.40960017
SNU-1196,-0.11570968,0.43178627,-0.10831658,-1.2584058,0.3087079,-0.16678889,0.017935097,-0.15876222,-0.16213734,-0.3374347,0.08523507,0.114619896,-0.46840638,0.15519527,-0.112463415,-0.29457292,-0.29617405,-0.30656543,0.23756641,-0.56493306,0.12505399,-0.63000923,0.706817,0.26946485,-0.019302927,0.6590726,0.4625688,0.3535686,0.27599642,0.2690325,-0.008905347,0.16007829,-0.52860564,0.5139597,-0.4139027,-0.84137064,0.4504196,-0.18078986,0.09913694,0.6602551,0.887732,-0.74880403,-0.27033702,0.5074017,0.3902789,0.116224,0.15063043,0.18336575,1.2010247,-0.24772371,0.13135502,-0.012122408,-0.6296801,-0.44143713,-0.1118404,-0.2104331,-0.28117093,0.27892345,-0.16167556,0.76288766,-0.74165034,-0.17164993,-0.19373368,-0.10271152,0.23484065,0.36666688,-0.41859534,0.14508164,-0.3067641,-0.08139521,-0.28137594,-0.56982434,0.42972356,-0.33004034,-0.2715125,-0.26159254,-0.042061023,-0.7691022,0.03661547,0.1196931,0.0907483,-0.7094468,0.99799913,0.23150529,-0.17439166,-0.7673036,0.086573705,0.58349824,-0.9728981,0.011598289,0.68792385,-0.72992426,1.043512,0.8975422,-0.47042292,0.12756903,-0.5160891,-0.535727,0.13696392,0.03840374,0.21004611,0.46084565,-0.2058549,-0.15953577,0.2697254,-0.66389775,-0.42414823,0.338867,0.13404995,0.047863275,0.11053032,-0.6638201,0.16646282,-0.046517618,-0.1799202,-0.01818382,-0.66787916,-0.28440228,-0.76648444,1.0757127,0.5181594,-0.59884197,0.5776714,-0.15741944
