,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E60,E61,E62,E63,E64,E65,E66,E67,E68,E69
K-562,0.2777647,2.4908726,0.6569144,-1.5264546,1.2635227,-0.9114075,-0.03297054,1.1586695,-0.79389745,3.017507,0.43808082,0.043788034,-2.949167,0.14879125,0.17306623,0.94559884,0.47548515,1.8638208,-2.3342035,1.8974677,-0.40925518,0.5271866,0.99640113,1.8762081,0.5735514,-1.0997783,0.12444344,0.34436765,-2.1581209,1.5253255,0.89240843,1.7308477,-0.19090384,0.87721574,0.21376824,2.6570237,-1.644129,-0.50995094,-0.8930971,-0.86791486,-0.3706779,2.3671112,-0.022982717,0.1314824,-0.13784799,-0.8330291,0.11816904,0.14119397,-0.11682732,1.2260869,1.3419265,1.4147491,-1.3509059,1.9222182,-0.2941555,0.52851313,-0.23680416,-1.7346727,2.7788992,-1.319271,1.9202957,0.91022104,-0.66753376,0.46206447,1.585791,-0.67923605,1.3883221,0.65305203,-0.4072831,1.2059429
HCC2108,-1.4850137,1.1456977,0.046099596,-0.5716569,1.0827588,-0.1453633,-2.45663,-2.6242762,-1.4046147,-0.9714669,1.822423,-0.564604,-2.6104257,-2.747281,0.867555,0.50028646,-0.3970714,-2.2080653,0.30418038,-0.15479416,1.6994188,-0.23108941,-1.5477291,-2.1416721,-0.76298165,-1.4483813,-3.0081644,0.9133394,-0.36178315,-0.6136487,0.96035266,-0.6530744,-0.21095437,2.4293272,-1.7070901,0.65061694,0.8589288,-0.40841776,1.6415527,-0.5116966,0.08066207,0.036776625,-2.5100994,3.1960914,-0.8353925,1.5099949,2.1471717,1.5054361,-1.0332738,-0.65549064,2.1956701,0.72808975,1.8111851,1.9766062,2.254296,0.89284045,0.21071526,0.90744376,-0.33339155,-0.8580161,-1.7308625,-1.6495584,0.6874654,0.19162266,1.4089799,-1.9842821,-0.7330634,0.41597494,-2.0727112,-4.0057907
NCI-H1341,-0.037403487,0.93935424,-3.1131384,2.3836715,1.0423334,-1.3855478,0.9233971,-2.3205035,0.42004794,-2.1499524,2.685109,0.58352697,2.559571,1.5865927,-1.2249014,-1.0269294,-0.03444267,-0.44965306,2.5112803,-1.7465063,0.59636456,-0.1860753,0.3905437,-1.3160532,2.6520476,0.48207656,0.66617966,-1.9229283,0.054690517,0.9855726,0.2729476,0.4911798,-0.5645391,-1.7871364,-0.6529367,-0.19154245,0.006611552,0.11982614,-0.22775422,1.7927684,-0.22930706,-0.4045614,-3.0267437,-1.5973823,0.34615457,2.7981672,-0.28818104,-0.5910273,0.39719898,-1.4836136,-2.1429303,-1.0282552,-0.02295181,-0.8757178,1.9399989,0.6400357,-0.38267404,-1.0168148,0.943171,0.57657284,0.7817386,-1.1229514,1.2315526,-0.023925439,-1.0201479,-0.34001157,-0.35059014,1.1716207,-1.0866182,2.9982166
Hs 616.T,0.95676416,1.0941844,-1.6914415,1.1471323,0.0923977,-0.372825,-2.0961332,-0.47072044,1.5554495,-1.2383859,-1.5683664,-2.0287907,0.07598674,1.0929778,-0.92131704,0.317747,0.73597205,0.54254496,-2.130015,1.2036296,-1.7636572,0.5217554,0.5712355,-0.7608992,-0.66127276,0.4766991,-1.1212469,1.6329827,0.37293357,-1.2214862,-1.8339559,0.936941,-0.058186553,-1.452723,-1.0155941,-0.6477657,-0.36848277,-1.133863,-0.74125725,-1.0074291,2.2510514,-0.119609594,-0.99069667,-0.27122253,-0.28191513,1.5070739,-1.1110148,0.02570374,-0.30901727,2.0951056,-0.887458,0.81555974,-0.75479466,-2.4975185,-1.0403806,-1.0468152,0.56148225,1.3196791,-0.8974657,-0.6975762,-2.293576,-0.57419115,-0.033636406,-1.016354,-1.6483077,1.5995346,0.79897875,0.42330596,0.18562923,-0.6417064
K029AX,-0.34458727,-1.2338638,-0.8048167,-0.736626,0.32959846,-0.06334048,1.2599394,0.81016904,-1.2985692,-0.111364156,0.2898243,-0.4767001,-2.1347396,-1.1385463,-0.68762726,0.8497477,1.1961083,1.0339233,-1.4771816,-0.85202587,2.201548,-0.75125504,0.04184217,-0.9027282,-3.3296928,2.1059406,0.8336911,0.32097554,2.898025,0.3090576,-0.62859833,-0.38509366,-0.07550765,-0.45952016,0.9825877,-1.4724517,-1.0590316,2.01753,0.9295543,-0.037013248,-1.2965429,1.1604587,0.14886151,-1.2712984,0.9715867,0.7752053,-0.46795505,-2.9755187,1.0905963,2.7728639,-0.70271844,-0.71843,0.11780828,-3.1494083,0.13664131,-2.5123193,1.6398077,0.18909095,-0.069831215,0.7919413,-1.6254661,0.0158731,-1.4762584,-0.79232264,-0.08720295,0.7726265,-0.10193825,-1.365634,0.1149082,-0.08127505
KALS-1,0.6652128,-2.216237,-1.9266745,-0.14488068,0.023046087,-0.78011274,0.0702477,3.3826377,-1.709079,1.2142574,0.97504556,1.2404552,-0.5354374,-0.57079035,1.1953393,-2.0848591,-1.1916265,-0.47471726,-1.5781,3.3922005,-1.9255823,-1.9354248,1.027981,0.06565896,-3.78064,-0.20254233,0.14097258,-0.85325164,0.22368528,0.58496886,-1.7545971,-2.524048,-2.5576673,-1.0274123,-0.09153978,-0.44647557,-0.84002745,-2.630015,3.3165672,2.538604,0.48459393,-0.1386272,-1.3654892,2.1067934,-0.8743631,2.366418,-0.19584349,1.65169,-1.3412378,0.64247733,-0.84581286,1.1919888,0.33346966,0.6766245,-0.064422965,-0.08666907,-0.13277003,-0.10530103,0.14079729,-1.3404241,0.5275426,-2.4620075,0.1851251,-0.05716376,0.30675656,-1.7108939,-0.6622687,0.16870031,-0.6311568,-1.9843587
SNU-1077,1.2874473,-1.3391716,1.2527729,0.81142676,-1.9598407,-0.68624026,-0.6892011,0.538619,-0.47014993,-0.96516556,-1.3029877,0.7142782,0.11399678,-0.38745105,-0.23604031,-0.110268794,-0.38482833,-1.0489124,-0.7419897,1.4231339,1.1983205,0.07129457,-0.763194,0.7266452,2.05594,-0.5062906,0.16168587,0.46381828,-0.04132341,-1.0864123,0.3006089,-1.1583376,1.4761722,1.644326,0.15942852,2.881978,-1.968555,-2.0636199,1.1788524,-0.09623043,1.8186092,-0.07648183,0.357281,0.39892286,-0.353067,2.1052773,-1.0856819,0.9984922,-1.465829,0.87217975,0.017783426,-0.12448151,-1.0035607,0.63740873,-0.7237556,0.23857424,0.2372567,0.58906746,-0.43888015,-0.43975642,-0.2887922,2.0500994,-0.8105635,0.421655,-0.92730474,1.2054367,0.42307764,0.52103627,2.7048202,-0.035521924
NOMO-1,-1.6651143,0.37957415,0.30968195,-0.33994782,-0.7150362,0.8218557,1.4550059,1.8424734,-2.024588,-0.57243234,2.4254167,0.01219927,-2.0017526,-1.6635485,-0.19044419,-1.4387947,1.2675194,2.569221,1.0012544,-2.2667148,-1.0683225,-1.4686903,-2.3551965,1.0404682,0.9965914,-1.1160841,-2.7052667,0.05854617,2.0342445,0.17424399,3.2780566,0.4132155,-0.88090825,-0.67235625,0.05798333,-0.14206359,2.324274,0.42740795,-0.37801012,-1.483416,-0.40069684,-0.3971336,1.5226787,-0.92311364,-2.8764026,0.098950446,-0.9570378,-0.2703989,-1.3580053,0.4593157,1.1764811,0.34446406,2.8147733,-2.2048805,2.962649,1.0281823,2.8450973,-1.0772305,-0.24863574,1.354246,3.0352745,0.7878421,-1.0215437,1.1025561,-1.6477219,-0.81416976,-0.33046016,-1.7309636,-0.21669301,0.7455866
Capan-2,-0.7973478,-0.8577112,1.8598138,-0.29092067,-1.2991753,1.7388431,1.1704962,-1.1906472,-0.058498204,0.96059,0.46556902,-1.6897857,-1.5612622,-1.1969345,-0.6860494,0.19594689,-0.4224134,0.3579178,0.46736625,-2.5860858,-0.086341865,0.59027463,-0.47399694,-2.390197,-1.1005267,-0.5672124,0.24513438,3.8511636,0.92392516,-0.8057318,1.1630893,0.45291522,-0.8584708,-0.6886552,0.21156305,-0.7848022,0.68230253,0.56342185,0.41314366,-1.3650835,-0.06866822,-0.6802462,1.0625536,0.12181417,-0.26256728,-1.4198925,-0.3260757,-0.68008715,-0.45279574,-0.1942468,1.2591503,-0.74930984,3.0353427,0.59429044,-1.6974239,1.0572475,-0.110229686,1.0760735,0.27055743,2.2614017,-1.139362,2.0152974,0.22247593,0.87292135,-0.7984779,0.536245,0.726178,-1.2752833,0.53020364,0.100918666
SW1990,-2.0059993,0.16074772,1.2602948,-1.2377721,-1.6965412,1.5454828,1.3099939,-0.24803089,0.9945153,-0.64672554,1.7637258,-1.6849778,-0.57184887,-1.2813259,-0.25452527,-1.0211618,0.10993729,-0.3618091,0.10249703,-4.465113,-1.4264207,-0.17086184,-0.032664616,-1.487506,-0.089358844,-1.2637913,-1.205476,1.0112339,0.3490778,0.6096812,-0.39549214,1.754165,-0.40653256,-1.8331126,0.018935338,-2.6908925,2.6867032,0.65640604,-0.9806187,-1.1624658,0.2600995,0.55058193,-0.4329562,0.44068074,-0.9183924,-1.4938312,-1.1267717,-0.8980024,-0.47744954,-0.40283364,2.535763,-0.7708432,1.727453,-1.1111126,-0.61348546,-0.7460446,-0.52173936,-0.27034554,1.0565876,0.8705098,0.1558937,-0.075182304,0.4523505,-1.1416839,0.6015975,1.7627115,-0.9734473,-0.68213046,1.1155334,-0.049634323
Hs 618.T,2.1031988,0.22700448,-0.90688795,0.21148981,1.4845903,0.057845306,-1.6231004,0.29353252,-0.45047206,-0.23912647,-1.0350127,-0.7791672,-0.24682388,-0.19220398,-0.4699406,0.5369835,0.7018577,0.25221902,-2.129298,0.7609608,-1.9032526,0.40804428,1.4610611,-2.3841033,-0.96692246,0.2911795,-2.02669,1.6866225,0.43010923,-1.1452206,-2.4521592,1.3328106,-1.853591,-2.6976457,-1.0672122,0.0049000075,-0.064543284,-0.717468,-0.51983297,-0.6423302,1.2457774,-0.31838772,-0.22140095,0.9373154,-1.1362381,0.43484765,-0.68924636,-0.6857742,-0.63257295,0.7273844,-0.46095318,1.0233877,0.618404,-1.6459409,-0.9579659,-1.6250192,0.42920488,1.4624596,-1.7718794,-0.017752588,-2.012872,-0.5851752,0.33109593,-0.6525981,-1.9649271,0.92158794,2.7531903,-0.13458139,-0.7878454,-0.9865207
SNU-1272,2.011,-0.74604803,1.4980317,0.49936113,-0.5129716,1.2717286,-1.7973448,0.41396248,0.23959608,0.07009877,-1.8320328,0.37175518,1.828271,1.1976388,-1.8929853,-0.28908324,-1.0420667,-0.65420747,1.3865259,0.72549856,-0.9225702,2.097005,-1.7025502,0.007434684,1.8490645,1.3251966,-0.1818955,0.49529138,-0.40319607,-1.5005124,-1.0358038,0.7487888,0.36309674,0.17237903,0.75471884,-0.3522645,-1.7424947,0.2850417,1.2056719,0.87034285,0.71867913,1.8779414,2.230678,-0.20548834,0.1657409,1.6901915,-0.20384201,0.88867235,0.058890253,0.85070837,-1.6968156,-0.5316691,0.2883883,-0.019235631,-1.1219407,0.19863899,-0.6455947,0.8179779,0.32042238,0.8631643,0.21634203,1.5354913,-0.17098738,-1.0883616,0.45260736,0.7217046,0.036227006,0.72346455,-0.8382795,-1.3083845
SK-MEL-3,-0.6567596,-0.54967946,0.30898672,-1.420235,0.60360855,-0.7919141,0.72677386,2.307744,-0.26623616,0.1793543,0.74296474,0.4582475,-1.5797579,-0.66827744,1.0464092,1.6200249,1.33639,1.2544521,-0.29254225,-0.83858305,1.5733134,-0.00021340325,-0.30116835,-1.2385739,-1.4091992,2.3870034,1.4807259,-0.25978956,1.1499932,0.29273635,-1.0756111,-0.42612296,-0.525055,-0.5041137,0.7089641,-0.7475201,-0.013078522,1.415489,0.7117994,1.0808549,-1.7169284,0.5033341,0.6744638,-1.9722428,2.024089,0.1283823,0.31369495,-2.7162209,2.2105992,1.47725,0.24267635,-0.6859618,-0.20788093,-2.2978234,0.3127324,-2.6928368,1.014326,-0.044820458,0.44791025,0.18337199,-1.845108,-0.8831263,-1.8758394,-0.7636143,0.8983253,1.2682221,-0.03461732,-0.7855624,0.32316113,-0.11703765
MHH-CALL-3,1.6674383,-0.29993993,-0.9262256,0.56758994,-0.211882,-0.78531855,0.6765575,0.15030053,0.7199598,-0.66239893,0.26022032,-0.16533408,0.11352476,-1.4658407,1.5143272,-1.0974448,0.7524344,0.20466563,0.35267276,-0.4386556,-0.28767642,-1.053437,-0.4161183,2.388915,0.7941787,0.2898257,-0.61698985,-1.1482203,-0.5334593,0.14359812,2.0699787,0.4175921,-0.2708391,0.14097041,0.72635084,-0.09229869,-1.6389973,2.3991892,0.11348951,-2.489713,0.17034021,1.0834876,-1.9896075,-1.0051819,-0.06270097,0.939703,-1.628454,3.2688103,-2.5469096,-0.22772141,-1.9293201,1.3248737,-0.76202816,-0.5689965,0.020151258,2.8339467,-0.051585924,1.7278277,-0.067319505,0.91890454,1.3384126,0.47992367,-0.69236404,1.757459,-3.4010236,0.5159061,-0.56470156,-2.2380235,0.03656402,1.0558964
NCI-H2228,-0.7935873,0.19563556,-1.3354714,-0.960121,0.93054456,0.72686815,1.0875523,0.7666051,0.16002434,0.10126661,-0.25432917,1.5070504,0.64055735,-0.41186044,-1.4677905,-1.5046111,1.8835009,-0.041595925,0.6922913,-1.6010246,-1.9714733,0.6184572,0.3523553,-1.9167767,2.2072654,-1.7969894,0.4291571,0.022148227,-0.06261582,0.5631403,-0.7236204,0.30528829,-1.0967034,-1.0696969,0.2636275,0.64307326,1.2807074,-1.4778799,-0.21959615,0.14110835,-0.049645737,0.37781107,0.40426496,0.9639502,-0.17241208,1.4532402,-0.4397261,0.07069561,1.8808,-1.0924788,0.44405282,-1.7778126,0.100754,-0.77711844,0.5697062,-0.6592014,0.10878776,1.3279119,-0.6563589,1.6384561,-0.0006372351,-0.8855639,1.096239,1.489317,1.7937833,-1.589379,1.5204558,-1.3145791,-1.503388,-0.61588603
Ri-1,0.082639545,0.020885317,-0.24194007,0.7402252,1.3371595,-2.106952,-0.3701245,-0.42734486,0.79586244,0.13424437,-0.27908334,0.24711981,0.09829449,-0.7664479,1.5104376,-0.35611352,-0.13141513,0.3976038,-0.009471681,0.9832414,0.1608735,-0.79069275,-0.4479925,2.4172752,-0.3773303,-1.0239141,1.5569704,-1.1412392,0.3452138,0.2743781,0.7011241,0.745586,0.24387616,2.748492,-0.38733628,1.4292921,-0.89417416,0.42203575,-0.14162534,-2.7607589,0.31575823,1.2852676,-0.6393795,-2.567415,0.04388517,-1.7767208,-1.5775708,0.19821613,-0.93143004,-0.9324619,-1.945173,-0.7375503,-1.3011023,1.529634,0.8348583,2.1380432,0.13059042,0.69369805,-0.3750452,0.48782343,0.13485657,2.0307443,-1.3862586,-1.1353042,-0.75992054,1.1930419,-1.3327883,1.152879,0.5523123,0.7423907
GCIY,0.8017532,-0.66272634,-0.24801432,-0.033345655,0.2898213,-1.2753134,-1.6856234,-1.0238708,-2.0331144,-0.46853918,1.6741519,0.14963265,0.17878874,3.1208918,-2.3876247,0.36688325,1.0908877,0.107038476,-0.032158684,-1.2178867,-0.24877355,0.21225438,0.24184503,0.14726338,0.6404986,-1.6792693,-2.042305,0.6912301,1.7610881,-1.3545722,-0.69770336,0.8587744,0.49480867,0.859946,-0.19083478,2.4111087,-2.746414,0.26534474,0.50806916,0.18361108,-0.76308906,4.0542874,0.77867925,1.2276776,-1.1149954,0.57904786,-0.26857463,1.1402946,-1.4354782,1.9647979,-1.4071761,0.08561774,0.4284829,-0.81486213,0.13296083,0.04116474,-0.9752163,-0.48922914,0.09777514,-0.6797929,0.39213046,-0.79899263,2.8080506,0.06372355,0.7933166,0.60894495,1.0631309,-0.9460818,-1.5309119,1.1859506
COV434,0.02502158,1.1739099,-1.5379951,0.70535344,-0.27997416,-1.1757104,-2.1692483,0.033903237,-0.7857021,0.16393465,0.07569439,1.160185,0.123384476,1.4409757,-1.2081864,0.7556686,-0.3921618,-0.46346217,-0.7115989,-0.36432764,0.26386958,0.8543642,-1.8990694,0.6601021,0.053630926,1.0339897,-1.3503683,-0.8946675,0.54876536,-0.42795044,0.5602632,0.23951842,0.00154866,-0.023861121,-0.9337013,-0.5801,-0.32035726,1.259212,-1.7529011,0.57365125,0.46588796,2.2609868,-0.5107711,-0.5460298,0.50581175,-0.69216824,-0.11599913,-0.5016593,-0.57850945,2.0576122,0.08622268,1.1494695,0.83183825,-0.47796276,-1.6399946,0.29014307,-0.27812338,-0.7005569,2.6277268,-1.5164957,-0.081540644,0.07915873,0.09527427,0.5761976,-1.0905871,0.6977562,0.96477556,-0.26642144,-0.46220243,0.67462796
Hs 729.T,0.58472,0.79534376,-1.6804981,-0.54645485,0.37165228,-0.37637046,-1.1003618,1.5779747,-0.26908708,-1.3295276,-0.04514391,-1.2331824,0.54785275,0.3417395,0.9487603,-0.5806758,0.26855254,0.28116724,-1.9565184,0.5807937,-1.7471365,-0.9754119,0.16911234,-0.7968428,-0.11415032,-0.9827886,-1.1808466,-0.18346626,-0.80252826,0.038731985,-0.86049813,0.84688824,-1.1691291,-0.32869238,0.11569859,-0.10914001,0.008478943,-1.3814791,0.14950608,1.0385851,0.3323595,0.22616166,-2.101176,1.4073524,-0.82637507,1.5330573,-0.7109417,1.1446321,-0.11709074,0.65074205,0.2889922,1.4214907,-0.80375457,-0.4005574,1.2655499,-0.8378361,-0.31334794,0.9295303,-0.5175897,-0.09637276,-0.7579297,-2.825499,0.76154256,-1.9417315,-0.2310107,0.5152651,-0.51826674,0.33458564,0.85336846,-0.63055146
HCT 15,-0.1510697,-0.11503233,0.1267747,0.10090272,0.5732626,3.035398,0.82872057,-0.13285261,3.6530063,-0.08674604,0.4065536,-2.7386487,6.1823463,3.5171683,-0.43827042,-1.0414597,-1.9175065,-0.23108864,2.5166051,2.557607,-3.0804212,-1.923285,2.791109,1.6953319,-1.4501528,0.73572123,0.6105232,1.3923926,-2.4386058,-1.7627844,4.1737385,-2.3349986,1.7752337,-0.5806558,-0.24854815,-1.2484071,2.5527556,1.3041062,-0.34227216,-0.6474696,3.2890334,-2.020094,4.453739,1.7662237,-0.16566503,-5.0657277,-2.6973562,1.704802,-3.247324,-1.551086,4.824517,4.1529107,2.1922593,0.051669285,0.8103451,-1.42827,3.0857236,-1.5511473,-0.9420955,0.54483926,2.5971758,0.29213673,-1.3670278,2.1630478,-0.7559692,-0.04240894,0.84322953,-0.7673377,0.38356292,0.8829807
HEC-59,1.61826,-1.8415346,-2.069079,-1.8301396,2.435789,2.1185043,-1.4198662,-0.07629982,0.44079092,-2.4912267,-1.0975219,-1.5811603,4.8204913,1.3765424,-2.6393707,-2.53296,-2.0286,-1.8879038,2.132626,3.314044,-2.3598692,0.36634395,3.2907958,3.651206,-0.9609461,0.61820465,-1.3202888,-0.084433265,-2.108805,-1.3136191,6.4925756,-3.2844224,1.4349494,1.6648273,-2.4716158,-1.5954272,0.85951656,4.1421847,-0.04116881,0.06687222,4.0717688,-2.8356142,2.3410323,3.6728694,-1.1131665,-2.2854493,-0.023921788,2.7325072,-2.1123252,1.4098353,1.9929556,2.5368886,3.3184514,0.5040714,1.7710652,-5.229769,3.000224,-1.4439002,-1.0077118,1.1843973,1.1065857,-1.5584636,-1.3608057,2.0459569,-2.4286077,-1.0905186,0.37277237,1.1128106,1.1244173,3.3232656
Toledo,-0.6083021,0.3956901,0.12571529,-2.245896,-0.8608214,-1.4806169,1.6148508,0.25579214,0.56349486,-1.613906,1.9311591,-0.09460912,-0.32182422,-2.963556,1.8716756,-0.20176262,-0.7305653,0.602292,0.07991782,-0.634842,-0.2050304,-1.1731073,-2.8908935,1.833881,-0.6451739,-0.43010113,-0.33615127,0.29900336,0.27220568,-1.5100865,1.216622,0.9662719,0.45353034,0.902273,-0.18123586,-1.1367967,-1.666902,-0.062423225,0.16279139,-1.1807945,-0.42558706,0.15040995,-0.8199901,-1.4127254,-1.1748481,-1.1241484,-1.3446268,-0.04175055,-0.9985343,-0.23086745,-0.13477246,2.0419104,-0.40877298,0.33795717,1.0321271,2.2232358,0.8651722,0.8879549,-0.48686233,-0.31091502,-0.124681965,0.53071135,-1.4205962,-0.026628498,-1.7978718,2.1678762,-1.913807,-0.9572544,0.97672725,-0.44487864
NCI-H1105,-1.1070125,0.8513106,-0.0020819642,1.1068506,-0.5440154,0.0011172295,-0.49687773,-1.52945,0.868553,-1.3007655,-2.5966456,1.8824198,0.6892093,-0.28495142,-1.2050763,0.7613433,0.090924814,-1.7074511,0.9432991,1.8008921,2.7137961,0.03567946,0.7461299,0.5112227,0.41924042,0.21485056,1.2890013,-1.3291961,-0.119685516,0.0802886,0.44962874,0.5594652,0.46711928,0.82934797,0.8063344,-0.8364426,-0.80962217,0.6774541,-0.05976578,0.9727199,-0.98436505,1.9817147,-1.8326906,-0.15380056,-0.571175,-1.1501578,1.163864,1.100662,-0.1577335,0.035663053,-1.295331,1.6876552,-2.3905318,2.7485893,-0.8189975,0.584866,-1.9586302,0.6089327,0.44533208,-1.7722884,-0.16708209,-1.210462,0.943547,-0.24945459,0.8959597,0.8768114,-0.10874259,0.07056251,0.8985208,-1.840402
JHOM-2B,-1.0137088,0.34202257,0.69587684,-0.2667049,-1.0948812,1.987291,-0.32745233,-0.50330454,0.14749303,1.3048786,-2.608965,1.5094587,-0.5174229,-0.20523989,0.6080137,1.6862065,0.4754228,1.2424066,-1.1781801,-0.22204828,0.6261172,1.4680734,-0.24112327,1.2234983,-0.30380708,-0.08933635,1.7978288,0.58005774,1.2278942,0.43762562,0.7764487,-0.22608198,-0.66928136,1.3528813,1.883237,-2.9256408,-0.72495556,0.36268842,-1.2439638,0.8124838,-3.5923016,-1.7968805,2.1919174,-0.51891863,2.0030847,-1.2718109,0.6007536,-0.8677767,1.8210217,1.767628,-1.3935578,-2.8585906,-1.2431821,1.0767052,-2.3365467,1.778285,-3.3520117,1.8289547,-0.8494364,0.00667423,-0.27339646,1.3297375,-1.0426912,-0.9407897,0.123628736,-1.4767624,-1.2130857,0.06802391,1.2890129,-1.5960454
NCI-H2087,0.622776,-0.38648626,0.5052514,1.3066714,-0.034058414,4.783043,0.8965609,0.33389542,-2.0757422,-1.1445519,-2.5664608,2.4868622,-1.8731196,-2.4584591,-0.3156185,-0.14140576,-0.123675525,2.1514964,-1.2381337,-2.2669053,1.4158478,-0.5480765,2.4917037,1.808178,-0.7728843,-0.8127389,2.0062482,-0.5059653,1.103413,-0.055827506,0.42678136,-1.1593819,-0.65230936,0.24131975,1.6536229,0.8139315,1.6779081,3.2577088,-2.6482582,-0.16272451,-1.3830544,0.8416016,1.1042614,0.31554946,0.77175164,0.32623005,1.2766457,-3.0400217,1.9512104,0.47197035,-1.4380628,-1.535797,0.96365523,-1.3978552,-0.0058612525,-2.3514454,-1.8020734,0.035218544,-0.95482975,2.9867873,-0.6523057,1.2137997,1.6728634,-0.99532014,-0.5691986,0.19710732,0.5279656,-0.68676794,0.2504518,1.9011371
L-540,1.9852486,-0.7902378,2.6275496,3.2744105,0.07496014,-0.500995,-1.0868415,-2.4865038,0.6528729,1.1324526,-1.9966891,-1.2169204,2.8775756,-0.51220876,0.36044616,-1.3963989,-0.7893922,-0.64624804,0.4521526,3.0803022,-0.9947927,-0.82938397,-2.6368093,1.1581098,-0.65782803,0.8219879,-1.6581645,0.24351843,1.2902913,-1.414312,-1.9006505,-0.7032827,1.8778615,-1.9390181,-0.625565,0.64752626,0.20171809,3.469004,-0.21127903,-1.568944,1.1189737,2.5970027,-0.3995762,2.1820543,-0.41142535,-1.3525021,-1.6473922,1.8757325,0.11861594,0.030863099,-0.34191215,3.5823314,0.2399446,2.9336164,-0.03236577,-0.26936957,3.4734647,-0.83699614,0.11700859,-2.0348697,1.1348892,0.4029623,1.2763193,-0.22079282,-0.76804876,-3.2022908,1.1652524,-0.58131695,-1.7291019,-1.9708455
HuP-T3,0.554289,-0.3086694,3.0222547,-0.7173305,-0.16293061,1.319933,0.4387611,-1.0861862,1.0845817,-0.43645227,2.0484626,-1.0389016,2.2337697,1.0539056,-0.30151525,-0.9971186,-0.25181887,0.28966787,1.6785568,-1.3473638,-1.2216464,-0.90024996,0.013582317,-0.114651196,1.5615697,-1.6276917,-0.9619012,2.2045703,-2.0608182,-0.39245862,-0.5802303,-0.8243479,1.4959451,-0.5571378,-0.3758337,2.1486945,1.5421035,-0.63796085,-0.9381072,-1.8659534,1.6420116,-0.25776893,1.3561258,1.1066606,-0.79733956,-3.596266,-0.43698293,1.2314934,-0.5619782,-1.1938028,4.524751,0.08043972,0.5361736,1.4204762,-0.50015736,0.12174281,-0.23018503,-0.2221072,0.12430098,-0.27594241,1.702463,-0.8766441,-0.4144514,0.63334334,1.1265187,-0.101481356,-1.1019454,0.653299,0.6155077,0.07069974
Granta-519,1.110199,-0.47541136,-0.47160968,0.20280455,1.1007175,-1.3298304,0.72238445,0.64424443,0.06897863,0.41234362,-0.72933483,0.8270248,0.540408,-0.6891536,0.45677888,-1.4535701,0.1291661,1.5272264,0.39134842,0.5202308,-0.5129417,0.10308769,-1.703365,1.1321331,-0.44370434,-0.35736108,0.40882635,-0.11889312,1.3802507,0.2500136,0.942252,0.6407675,-0.9430302,1.7157775,0.5232644,0.09371224,-0.47921896,2.0020044,0.6232904,-2.1244934,0.5457895,0.49092376,-0.4849972,-1.3279742,-0.10242456,-0.11685973,-1.2635671,0.5333421,-0.6766116,-0.68928623,-2.9544091,-0.09860271,2.2702534,0.6997206,0.14399791,1.060317,1.7300682,1.3711413,0.57646453,1.8453479,-0.6533864,2.0993512,-0.67555064,-0.8172134,-1.1499085,1.1642116,-0.6199075,-0.89355105,-1.135893,0.759423
SNU-61,-0.8915429,0.82958615,2.1853256,-0.11332062,-2.0779963,1.1661704,0.9707098,-0.5440336,0.05828547,0.4021689,-0.26450044,-0.25436163,0.65134776,0.931296,0.15017939,0.73835635,-0.48616347,2.3278463,1.0214683,-1.4837606,-1.2864708,-0.17728284,-1.159133,0.69741833,0.8508221,-0.3526657,0.680776,1.1977895,0.03363817,-0.4053837,1.0382339,-0.301178,1.9808658,-1.6046728,0.2529915,-2.2524073,0.78784794,-0.7063007,-0.79055315,-0.7792509,-0.81316334,-2.0722756,4.3709035,-0.90938365,-0.08163197,-3.384842,-0.97032225,-0.6929228,0.31117308,-0.20505325,2.408778,-0.768902,-0.21847625,0.0083705075,-0.7440657,1.7184693,0.35092884,-0.3114163,-1.0582631,0.30545044,2.0145478,0.6763089,-1.2428532,0.49062178,0.29579806,-0.6096353,0.10757905,-0.33692065,0.7478234,0.20533492
NCI-H1618,-0.8098029,1.2989291,-0.22508238,1.9820727,-0.9462413,-0.3190609,0.38429758,-2.9016962,0.7412195,-1.4065769,-1.8393977,2.279072,1.526696,0.046390235,-0.5261327,0.482583,1.4388528,0.30703038,0.95384324,1.2243361,2.6697967,-0.22368237,0.8798038,1.0228993,0.7936759,0.77153015,0.9835681,-1.2957247,-0.425288,0.6627966,0.26556867,0.5110291,0.6117205,0.80087227,0.8767907,0.28711635,-0.5989021,0.653615,-0.36073476,1.3012756,-1.9081808,1.5545156,-1.1470226,-0.32161352,-0.1003896,-1.0745571,0.677449,0.39252666,0.4951921,-0.35410702,-1.5644141,0.65603864,-2.1619227,2.0667126,-0.98377424,0.744905,-2.7082663,0.42305654,-0.21603674,-2.1650958,-0.29407358,-1.0946419,-0.09645286,-0.33165225,1.769885,0.21477252,-0.16530946,0.9760354,0.90741277,-0.83423275
