,E0,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,E24,E25,E26,E27,E28,E29,E30,E31,E32,E33,E34,E35,E36,E37,E38,E39,E40,E41,E42,E43,E44,E45,E46,E47,E48,E49,E50,E51,E52,E53,E54,E55,E56,E57,E58,E59,E60,E61,E62,E63,E64,E65,E66,E67,E68,E69,E70,E71,E72,E73,E74,E75,E76,E77,E78,E79,E80,E81,E82,E83,E84,E85,E86,E87,E88,E89,E90,E91,E92,E93,E94,E95,E96,E97,E98,E99,E100,E101,E102,E103,E104,E105,E106,E107,E108,E109,E110,E111,E112,E113,E114,E115,E116,E117,E118,E119,E120,E121,E122,E123,E124,E125,E126
SK-UT-1,-4.095376,3.5759826,6.668429,3.9627826,1.8135593,-6.9403415,5.0150275,-4.954021,1.1901436,-2.0057852,0.49856403,-9.268491,9.668864,-6.3873224,7.701159,-2.7248008,-4.6143794,-5.526359,-3.3382664,4.9487495,-1.1396124,-6.697563,3.9862914,-3.3168716,-2.3537247,6.1877522,0.8679759,0.89125335,-7.892396,-0.08149466,0.19889349,3.7981842,-0.5393056,1.9613614,-2.7233179,-0.31846908,-0.072938085,-1.6265322,-1.739873,-0.9752333,0.003797708,-4.811783,7.2612085,1.1042418,11.298735,-0.013394776,1.7300353,-4.381829,2.7711704,-6.662337,3.1104848,-2.0059483,-9.702783,-9.212047,-4.775642,8.262969,-0.1818931,-1.9165984,-4.6107697,-6.1664257,-0.8697686,-1.8341115,2.1139367,1.7386568,-9.1424675,3.0009465,2.798107,-2.3288257,2.4442482,-7.1898065,-4.4748015,4.53664,-3.7993164,7.9051485,-3.2564242,3.1359515,4.9875226,6.2928166,-2.0357468,6.4781566,12.681164,0.4831421,-0.26957634,10.599762,-2.6967885,9.414048,5.036981,4.386846,-7.872355,6.126723,-1.5316668,-5.7698627,-7.0795407,-4.6525426,2.9311082,-5.7564774,-0.5166865,-7.99758,2.5800767,-6.263738,7.4638305,-0.46616775,-4.1952252,-7.2874327,-0.19532205,-0.24323365,5.991868,1.9279181,1.2522289,-7.4311237,-0.67569315,-4.0597024,-2.4238675,7.7621164,1.3043092,2.6564162,-9.98449,1.913206,-6.503665,2.4727948,-10.544465,-4.863856,-13.506753,-1.7649988,1.1472396,-0.09213288,-0.57354087
NCI-H1792,-0.06745263,0.006448321,-0.2948106,-0.4308239,-0.31160706,-0.06089852,-0.3689637,0.27124882,-0.9618463,0.55423874,0.009973533,0.41086072,-0.30580828,0.24602497,0.24343987,-0.11799496,0.07024019,0.90493345,-0.8644271,0.007223323,0.9639692,-0.3526359,0.59446084,0.22875267,-1.1120577,-0.006773792,-0.2933524,0.23078525,0.40976977,-0.24705368,0.1854173,-0.6576463,0.45154074,0.7572946,0.6137771,-0.045222927,0.24674416,0.5188782,0.46651945,0.13375849,-0.53333634,-0.5300804,-0.6878139,-0.31099334,-1.0034009,0.15555538,0.013814202,1.1958239,-0.015798189,0.023250729,-0.4429965,0.78739023,0.124769375,0.78021324,0.700019,-0.79083806,-0.16554208,0.27370822,0.38709915,0.04082253,-0.5799123,0.8038651,-0.00530959,0.056624584,0.5423941,-0.30890796,-0.73524296,-0.4153093,0.38796854,-0.9329418,0.24143933,-0.57479227,-0.54682827,-0.32585096,-0.4021051,0.1124323,-0.22428982,0.36353073,-0.093116656,-0.28709906,-0.6158957,0.041200608,-0.28319368,0.41865966,-0.5298759,0.8395154,0.6166658,1.0491291,-0.2882356,-0.119970895,-0.5243891,0.25836435,0.21469249,-0.18440083,-0.6091748,-0.7294445,0.12095343,-0.6295247,-0.45442763,-0.10987486,0.23738912,-0.09922724,0.1178477,-0.14800747,-0.1424888,-0.036448933,-0.57221305,-0.39685127,0.09063682,0.6883291,0.3498592,0.60946006,-0.58093995,0.7609559,0.21634546,-0.6857688,-0.28663406,-0.7032258,-0.3070898,-0.01937224,0.2949235,0.4181655,-0.105867185,0.51902604,0.16932505,-0.0879023,0.11093849
Hs 688(A).T,3.0446787,-2.2964306,-4.8200097,-6.0520306,-4.78769,2.4169815,-5.8368993,3.277855,-5.520949,5.1942177,-0.20273057,6.2757764,-8.435525,5.2182875,-2.6543388,1.7474532,2.673403,8.069926,-4.994253,-1.2074056,8.306612,2.3122947,1.8965957,4.3404207,-6.17465,-2.5621276,-3.273724,-0.91172636,6.0390673,-1.2117791,-0.86886835,-5.00057,3.58477,2.7303069,4.1287475,-0.8189437,1.5169541,5.7232594,2.8786721,-1.0459785,-3.8792133,-1.629745,-6.754241,-1.637781,-10.835154,1.595884,-0.62266076,8.973253,-1.6268196,2.989151,-5.29296,7.4689484,3.4830546,10.025318,9.600219,-9.216331,-2.3566206,3.576265,6.9055333,4.133065,-2.6654222,4.2298245,-2.992855,1.9652929,8.678094,-2.8514106,-4.3113575,-1.8744712,4.227287,-3.1594393,3.2729392,-6.3817453,-2.764381,-7.2290115,-3.574311,-0.8535993,-4.271221,-2.1821985,1.6270082,-6.906907,-13.534894,0.4792138,-0.84849674,-3.5635376,-2.2895641,-0.3178981,1.5952638,4.799977,3.689106,-3.972851,-4.3582516,5.0622687,3.1693957,-1.4944366,-2.5179942,-3.1899102,0.7653733,-0.31292886,-5.0817137,2.340757,-1.9816321,-1.1759584,2.3250625,2.6033912,-1.9775283,-0.25572032,-7.297079,-1.3848084,0.22414555,10.542005,4.2682095,4.371984,-3.299705,1.032295,2.4291246,-5.417128,3.1256785,-5.603748,-0.39409062,-1.0347488,8.340682,7.454555,5.727686,1.346845,1.9934487,0.04644318,3.2787244
KMS-11,6.0611973,-5.380152,-9.004974,-11.22586,-9.369007,3.9369411,-10.795357,6.029769,-10.053661,9.370661,-0.54645777,11.36191,-15.772568,9.225466,-5.85495,3.6238732,6.005046,13.993991,-9.218195,-2.121943,15.508745,3.9808586,3.3103895,8.577112,-11.135453,-5.1766267,-4.8341446,-0.92334116,11.187302,-1.6198962,-2.6589282,-8.492292,7.0667,4.237728,7.8086686,-2.784028,2.8796172,10.7957535,4.7151566,-2.4106793,-7.130557,-4.003758,-12.049715,-3.8459876,-19.616894,2.651658,-0.77363807,15.68234,-2.621455,5.9187527,-9.347041,12.901833,5.392855,18.213371,17.118835,-16.856794,-5.2601933,5.8977647,11.99178,7.720535,-4.93379,6.6802177,-5.426325,3.4172206,15.832214,-4.6657095,-7.603015,-3.1046882,8.243207,-6.0544677,6.31445,-10.726861,-4.7685847,-13.46487,-6.809938,-1.1471423,-7.975219,-4.097922,3.4401233,-13.714327,-25.093391,1.2774793,-1.6776673,-7.4107547,-3.3699534,-1.53227,3.3066196,8.181643,6.668636,-6.7140727,-7.5027523,9.230241,5.1763716,-2.3727803,-4.6755533,-5.4835773,1.3099105,-0.99552363,-9.550639,4.591577,-3.8063095,-2.626234,4.576028,5.829869,-3.755663,-0.030723386,-14.073086,-1.9796005,0.21173064,19.231781,8.059401,8.732915,-6.0899453,1.6633278,3.9086864,-9.493003,5.9579716,-9.575911,-0.5212041,-1.469007,15.041193,13.67004,11.4991045,1.5484775,3.9279706,-0.18642126,5.673313
G-402,-4.4694204,4.6048956,7.5689497,4.3354897,1.7351317,-7.709868,5.89633,-5.665938,1.8040404,-1.8487791,0.49697807,-10.754644,10.801304,-6.695135,8.840703,-2.860224,-5.790817,-5.7971506,-3.7082093,5.464572,-1.4871769,-7.000843,4.3270736,-4.2983966,-2.362475,7.3811393,0.3282129,0.25385642,-9.275964,-0.33677074,0.5834499,4.391549,-1.0322237,2.1513,-3.6587946,0.33367497,-0.51239073,-2.03357,-1.5004253,-1.2891734,0.34454757,-4.934713,8.48537,2.0721133,12.820228,0.064499736,1.8897455,-4.9239774,2.6632953,-7.340839,3.319434,-1.6635103,-10.664374,-10.144086,-4.6831303,9.568922,0.23676337,-1.6100394,-4.400707,-6.96626,-0.8956721,-1.7323437,2.2302005,2.410887,-10.320886,3.3597977,3.5709345,-2.5687516,2.983557,-7.662616,-5.2883916,4.6934752,-4.364912,8.973293,-3.718933,3.2847583,5.377122,6.8298125,-2.2706723,7.869279,14.013076,0.6142081,-0.16899155,11.987956,-3.395499,11.213985,5.000756,4.9014497,-8.346043,6.807631,-1.7325194,-6.047906,-7.713964,-6.232028,3.699331,-6.8896093,-0.75604194,-8.878413,2.8680327,-7.21157,8.269132,-0.48149246,-5.0389714,-8.600845,-0.59597677,0.11340233,7.026765,2.0004983,1.5549775,-7.845761,-0.46206328,-5.463042,-2.0663574,8.287578,2.007185,2.884597,-10.812015,2.5102673,-7.218794,2.4597979,-11.450524,-5.2332115,-15.364444,-1.9798617,1.3354993,0.6344133,-0.47941485
SNU-1076,9.959675,-9.19071,-14.795443,-18.49694,-14.951257,7.3886895,-18.84578,9.717124,-16.903952,14.697738,-0.7913823,20.054163,-26.693567,15.06845,-9.935769,5.1391115,10.505476,22.496157,-14.906734,-3.1707299,25.955744,6.5341096,5.1054416,14.690389,-18.956476,-9.198001,-8.737103,-1.7471889,19.392586,-3.2290094,-4.2712755,-14.819599,12.077956,7.578162,13.297943,-4.847454,5.5968156,18.283253,7.378886,-3.506844,-12.302885,-6.5510626,-20.479164,-6.5755463,-32.91362,4.8455563,-1.7030748,26.351402,-3.8501494,9.11295,-15.4667635,20.896463,9.095877,30.412773,28.313515,-28.819302,-8.896529,10.047174,20.14794,13.522012,-7.827882,11.129991,-8.844762,5.989997,27.338493,-8.558839,-13.360157,-5.4819574,12.700595,-10.492847,10.354983,-18.575079,-8.331802,-22.669527,-11.466278,-2.262512,-12.997279,-6.9913154,5.2209945,-22.981415,-42.194996,1.2919437,-2.97376,-12.728761,-5.4319224,-3.9735389,5.962548,14.112124,11.085244,-11.863859,-13.008518,15.03667,8.425772,-2.8218641,-7.489089,-8.68586,2.8499913,-0.7954545,-15.411605,8.550089,-6.636438,-4.3720875,8.277248,10.268236,-5.291023,-1.4654337,-23.257881,-3.13177,0.38657042,31.29815,12.369592,15.531952,-10.459119,3.1212826,6.184078,-16.00653,9.594596,-17.026274,-0.9965139,-2.423264,25.654478,23.036331,18.927544,2.341704,6.00062,-1.1773291,10.031534
NU-DHL-1,7.044017,-7.5086393,-11.936399,-14.134997,-10.824039,5.1678567,-14.316787,8.33998,-13.231199,11.48294,-0.4844317,15.370781,-20.19803,11.674098,-7.749895,3.919548,8.494877,17.827219,-11.564369,-2.7468224,19.935905,4.7272954,5.045249,12.079637,-14.070566,-7.9310584,-5.249596,-0.1491912,14.618411,-1.9020272,-3.4272158,-11.239724,9.088668,5.417136,11.442122,-3.6404107,4.130976,13.778452,5.2659755,-2.2651625,-9.941289,-4.95383,-16.850399,-6.0529394,-26.116241,3.6044164,-1.1595811,20.212029,-2.8737004,7.6986256,-12.073642,15.765794,7.284839,22.954124,21.018925,-22.108683,-6.5489073,6.569952,14.397273,9.745425,-6.450817,7.9077587,-7.016042,3.6621647,20.514128,-6.0646524,-10.559827,-3.8270698,9.852849,-7.688119,8.736697,-13.226244,-5.5914435,-17.172258,-7.910565,-1.1504896,-10.118537,-5.5344625,4.54854,-18.29397,-31.73277,1.2499062,-1.9903437,-9.39579,-3.6409497,-3.6779578,5.09532,10.093084,7.8547416,-9.0959835,-9.09962,11.178626,6.8530464,-1.0449355,-6.5106354,-5.7270756,1.8098963,-0.84377337,-11.706388,5.7387953,-5.0235167,-2.7687757,6.0497427,7.7901053,-3.752632,-1.0800666,-18.213009,-2.3715537,-0.021640081,24.060055,9.691014,12.169364,-8.650797,2.597093,4.1874514,-12.155413,7.2516594,-13.129119,-0.7940236,-1.7201855,18.779467,17.34067,15.10939,2.5416002,4.5908117,-1.3727556,6.834582
PANC-1,-0.40372393,0.4654936,-0.07689516,-1.0946953,-0.97641075,-1.1651149,0.29441282,-0.28921163,-0.5297142,1.2465601,-0.36126184,-1.1604631,0.982703,-0.39898187,0.9350661,0.13975607,-0.3367715,0.5715959,-1.7038339,0.84875816,0.67108464,-1.2430419,0.79673344,0.2328994,-1.5015452,1.2499118,0.5150302,0.5940676,-0.984231,0.5392986,-0.52419645,0.26930377,0.5568853,0.5093754,1.2025177,-1.1949555,0.22110751,-0.026932392,0.63824606,-0.3148207,-0.4086363,-1.8948498,0.7265894,-0.24909046,0.5038298,0.2328253,0.78000706,0.9330768,0.19482747,-0.042253084,0.18842094,0.94014853,-0.8224884,-0.30114648,0.4078864,0.5455778,-0.14746,0.36296326,-0.5343449,-0.53601855,-0.1500507,0.6007414,-0.2110735,1.0151342,-1.3915185,-0.17870197,-0.11699888,-0.77003676,1.697363,-1.7890714,-0.1850186,0.17179218,-0.43009317,0.18259045,-0.6156505,1.1123563,0.1482778,1.2465233,-0.2689153,-0.546357,0.34858996,0.35529673,-0.334151,1.2656453,-0.64462316,2.1435287,0.5934831,1.0259343,-1.2447382,0.7683449,-0.47687292,-0.1159144,-0.37802017,-1.3394638,-0.038404945,-1.1419861,-0.44517615,-2.3270378,-0.81179684,-1.2386338,0.9848565,-0.40024734,-0.35500148,-0.8319608,-0.30165192,0.61049217,-0.20629972,0.18417239,0.13068454,-0.011690594,0.75747484,-0.26965666,-0.5680956,0.40755907,0.13978736,-0.9686262,-0.8725168,0.7913445,-1.4758588,0.074848995,-0.9413633,-0.21099567,-0.9147841,0.14482912,0.37746403,0.21425684,-0.70143414
SNU-C4,-4.5891223,4.1421337,6.7711782,3.751162,2.7833552,-7.133865,5.522901,-4.9109473,1.8046415,-2.173917,0.40393412,-9.87685,9.936214,-6.9059725,8.166389,-3.8615491,-5.1796412,-6.019634,-2.7756166,4.4673653,-1.3430238,-6.4817443,3.2677784,-4.423418,-2.1890728,6.8393836,1.27316,1.0084734,-7.950789,0.29004458,1.1674483,3.9333477,-1.051803,1.9234779,-2.768019,-0.8314124,0.22455814,-2.7260787,-1.9900353,-0.29565948,1.0018928,-4.3943396,8.179048,1.2468739,12.006911,-0.8722495,1.3082112,-4.0174885,2.937865,-7.292991,3.658644,-1.6364263,-9.767492,-9.685561,-5.5317783,9.000917,0.1339217,-1.5999337,-5.101937,-6.7199955,-0.21631682,-1.1074278,2.70971,1.527724,-10.692705,3.1138492,2.785024,-2.5804589,2.4745002,-6.8348393,-5.4589934,4.896508,-3.7730587,8.39468,-2.735782,2.690264,5.875802,7.4161572,-2.927702,6.9790163,14.3505125,0.115767345,-0.8099531,11.4306755,-2.9881725,10.936358,4.4319854,4.031548,-8.030451,5.8565555,-1.4716725,-6.553464,-7.0090237,-4.714936,2.5006664,-5.4897394,0.4373668,-7.7208953,2.2032306,-6.2639484,7.295018,-0.332188,-3.471562,-7.450304,-0.21629547,-0.43774092,7.009164,1.5034281,1.4975098,-7.9142823,-1.1543576,-4.135844,-2.1851206,7.6346717,0.58567,2.0582492,-10.440515,2.220307,-6.0955305,1.6965964,-10.601347,-6.1501927,-13.729154,-0.9719957,0.95421064,-0.42246753,-1.0812447
NCI-H1563,-0.51457894,-1.7196138,-11.616634,-12.612655,-2.034453,4.228204,-7.686826,10.170801,-6.378305,10.101737,-1.8589934,10.526993,-12.673248,11.07078,-4.410385,-0.41729134,3.8955305,14.727486,-4.958021,-4.4136534,10.402819,6.4299664,4.1926036,7.144697,-6.871284,-6.4813266,-1.6474528,0.8257178,7.2407713,-0.30676472,1.8301556,-7.8733873,2.162943,1.7713953,13.678222,-0.50110537,1.5654942,3.3392563,4.3626547,3.331482,-5.9028063,1.811182,-14.351665,-3.9751117,-22.78223,1.0857393,-2.3316479,17.392958,-3.2721827,7.2997622,-7.3392887,14.584524,12.201277,14.039775,12.709496,-12.650433,2.5662403,5.3222966,7.855602,4.6292634,-3.1224194,8.813424,-4.322804,2.1439996,8.5066595,-5.1852207,-9.557287,-2.516694,4.647471,-0.09539235,4.619189,-9.464519,0.21163133,-10.868599,1.8344272,0.48792717,-7.056891,-3.9505837,1.7543613,-11.796374,-16.56568,-1.9036819,-1.6076357,-4.2783675,-1.8670181,-0.66108364,-0.8868803,1.8873947,5.1743116,-10.086065,-2.5359914,5.2309523,9.122493,1.5695428,-6.154422,0.50684404,1.2475462,1.9604464,-7.563202,0.14034022,-5.3603096,3.1203663,4.663611,4.0300493,0.6913251,-2.6934738,-8.918913,-4.6081834,0.3739433,16.062607,5.4866166,6.1025014,-2.762279,-3.5549974,-0.71989083,-12.017584,7.2333527,-7.2709885,0.54355484,-6.5033064,13.579816,8.029346,13.900597,7.3965983,0.3227593,-2.1804466,-0.92844343
DMS 153,1.2340701,-1.3830651,-2.5320435,-3.2219954,-2.4236057,0.86492324,-2.772996,1.8290979,-3.1794512,2.8329718,-0.10263623,2.8794096,-3.9581065,2.2946653,-1.2354938,1.0861471,1.5615427,4.1735272,-2.8658953,-0.6296582,4.2495165,0.74577063,1.4067248,2.5210948,-3.3503723,-1.2862437,-0.9676158,0.16993295,2.863702,-0.17705022,-0.7730624,-2.4427795,2.0834239,1.265426,2.5648658,-0.7855152,0.93361557,2.9545414,1.3777561,-0.56252015,-2.1409566,-1.2639868,-3.4914258,-1.4264252,-5.463903,0.62210625,-0.057729326,4.642739,-0.69819224,1.5856781,-2.526229,3.7906997,1.643355,4.8821235,4.4634438,-4.5093317,-1.262704,1.4093711,2.851097,1.84822,-1.6695801,2.1694992,-1.5739033,0.63498145,3.7332397,-1.2565774,-2.413349,-0.95050514,2.4376926,-1.9347054,1.8120421,-2.802507,-1.3152435,-3.661658,-1.6844178,-0.038496606,-2.1523128,-0.6802557,0.92565525,-3.8808188,-6.414524,0.42496344,-0.444523,-1.4941524,-1.0295186,0.17394125,1.0985197,2.3990648,1.3796555,-1.6533035,-2.1867065,2.2476668,1.4739432,-0.6125614,-1.6459248,-1.5624801,0.20003915,-0.82086563,-2.7581592,0.7443304,-0.60641134,-0.51473194,1.1671282,1.2446636,-1.0253139,0.06433904,-3.8803132,-0.76338124,-0.057465438,5.2226624,2.411064,2.3689265,-2.0199664,0.741915,0.92395365,-2.6616087,1.2379473,-2.7046041,-0.45643973,-0.4070993,3.553633,3.5658193,2.9769757,0.8652836,1.1034521,-0.31374508,1.1833582
Hs 616.T,-3.2716289,1.2746488,-3.9291587,-5.2908354,-0.7018299,-0.7860154,-0.9663403,3.922936,-2.1112316,5.8902063,-0.9438857,0.31127727,-0.8052885,3.8778234,1.2389216,1.0173028,0.17515613,6.63238,-3.9205618,0.5362775,2.1240797,0.5089271,6.246213,3.558118,-3.0151916,-1.4800892,0.22053783,0.93643403,-2.740298,0.17016904,-0.29427657,-1.4363476,0.2106043,0.29554418,6.9411793,2.0236049,-0.7575314,0.31237575,2.28847,0.39104766,-4.08023,-0.57145995,-5.4352713,-1.3248022,-7.3276086,2.0337791,0.5874585,5.8135753,-1.1971346,3.4890237,-2.5001166,6.745965,4.0690904,2.1360252,4.9099426,-1.3795892,4.150766,1.3004953,1.4351838,-0.6588497,-3.014434,2.8313131,-3.0136442,2.4489474,-1.043361,-1.4082886,-3.4136026,-1.0890534,3.2763634,-1.7173759,1.6787187,-2.3438652,0.36766315,-1.6107002,1.8391781,4.142157,-3.3526855,-1.4292513,1.2255561,-3.4661136,-2.6452177,-0.20612077,1.304843,2.1679935,-0.9206408,2.0346646,0.34372047,0.85102105,-0.8554088,-1.8057568,-0.32674748,0.6124424,2.4918685,-1.936673,-0.18999544,-1.2283504,-3.0145464,-3.6188436,-1.6543937,-5.1049614,1.1685554,2.9947689,-1.6494833,-2.0811033,0.94200665,-0.34812862,-2.024418,-1.5154438,-0.4884284,4.9339976,3.647734,-1.8752329,-0.7105182,-1.1742802,0.3930542,-3.9009213,1.0883926,-0.91013676,-3.6334043,-2.3400483,0.6306733,3.2747242,1.7079575,2.6471004,-0.28062806,-0.38506478,-2.902868
KNS-60,10.176315,-11.536982,-19.772675,-22.820623,-16.362177,8.397699,-22.859346,13.980501,-20.942642,18.824137,-0.7392584,24.956041,-32.10684,19.402716,-12.043466,5.9629116,13.207298,29.405565,-18.501259,-4.2470865,31.528471,7.952249,9.2557125,19.963947,-22.233854,-13.1879015,-8.440514,-0.28547466,22.616707,-3.2699876,-4.959176,-18.29748,13.952809,8.419812,19.311832,-4.544323,6.17754,21.570036,8.29949,-2.826653,-16.560867,-7.061182,-28.287445,-9.453994,-42.884594,6.4110312,-1.9717697,32.784084,-4.7428517,12.823626,-19.976345,25.976068,12.999479,36.392345,34.107933,-35.286995,-9.358595,10.398296,23.27174,15.268504,-10.28525,12.799595,-11.77686,6.047878,32.961823,-9.874264,-17.328024,-5.9738564,15.434493,-11.714912,14.202213,-21.355127,-8.422433,-27.173288,-11.4770355,-1.2438288,-16.446737,-9.7866955,7.5028687,-29.098934,-50.431885,1.4601542,-2.5578172,-14.561326,-5.6338716,-6.820399,8.062402,15.924787,12.474136,-15.30179,-14.119648,17.677109,11.570425,-1.1328506,-10.111911,-8.744731,2.3289037,-0.87740517,-18.36902,8.295319,-8.232377,-3.3237906,9.034813,11.653951,-5.07233,-2.5159156,-28.718416,-3.8195088,-0.14677574,38.826836,15.295931,18.779058,-13.928178,3.8306692,6.7291603,-19.845049,11.741954,-21.464025,-1.8575319,-3.2405066,29.932592,28.117573,24.130219,4.7945786,7.073624,-2.4662504,10.589877
Hs 172.T,-3.903127,4.2325826,6.8504534,3.4209192,0.9360788,-7.464016,5.221061,-5.2843366,1.4521557,-0.97453314,0.534029,-10.235266,9.764095,-6.115369,8.309234,-2.5769794,-5.3254075,-4.7932057,-4.275628,5.2988515,-0.7676988,-6.7120566,4.21031,-3.7434282,-2.8055987,7.159247,0.4755257,0.38418168,-8.592304,-0.09598383,0.36140662,4.033262,-0.574772,2.2603812,-3.0406675,-0.18241584,-0.316518,-1.577657,-1.1595964,-1.4988468,0.20633644,-5.2865906,8.001805,1.8334758,11.783067,0.20512268,1.9657333,-3.9720702,2.3912795,-6.610995,2.772549,-0.9919247,-10.27081,-8.909123,-3.5484824,8.651561,-0.116223626,-1.2529639,-3.755104,-6.454224,-0.8356677,-1.4467695,1.8218096,2.6217983,-9.574775,3.084422,3.4029977,-2.6400685,3.7584476,-7.7798038,-4.826174,4.2315025,-4.329413,8.147351,-3.9379125,3.2034132,4.8850646,6.55944,-2.2403915,6.7404904,12.365272,0.9322008,-0.2502354,11.2573,-3.4209847,11.022143,4.857908,4.974884,-7.8282876,6.293786,-1.8809443,-5.3112493,-7.1624603,-6.4884987,3.3332224,-6.8951564,-0.69512826,-9.010713,2.0741107,-6.8317146,7.776485,-0.8200788,-4.600782,-8.041365,-0.97884804,0.41101533,6.0496516,2.0924988,1.3619146,-6.5842624,0.10835877,-5.1204348,-2.1903996,7.9121356,2.0940294,2.127836,-10.1494875,2.3970137,-7.0975585,2.2284658,-10.477271,-4.4419184,-14.308502,-1.8291744,1.4868357,0.87935203,-0.42611417
42-MG-BA,5.709795,-5.9298496,-11.72727,-14.537011,-8.220752,6.312821,-13.372189,8.9669285,-11.793794,10.436204,-1.1160527,15.260771,-19.79687,11.663411,-7.369865,2.485561,7.5610785,16.64297,-9.00797,-3.9399323,18.186087,6.293637,3.1813488,9.943713,-12.7267685,-7.4539,-5.945846,-0.9292118,14.77521,-1.8593507,-1.7947572,-11.201675,7.442455,4.58347,11.555324,-3.392554,4.3102255,11.417839,5.123615,-0.786636,-8.243519,-2.3704855,-16.031378,-5.4267426,-25.899483,2.3978138,-2.3402023,20.678118,-2.9587708,6.5448623,-10.306238,16.217627,9.212723,21.815544,18.912884,-20.681879,-4.6159286,7.4337306,13.525425,9.483566,-5.237015,9.346585,-5.8525333,3.5121388,18.016184,-6.9137173,-11.077463,-3.8773532,7.688212,-5.1660557,6.7445664,-13.653178,-4.6898966,-17.002726,-6.0758758,-2.0976493,-9.153745,-4.597808,3.6006439,-17.007238,-29.1293,-0.47915593,-2.601655,-9.01105,-3.8240557,-2.5685406,2.77491,8.228853,8.338448,-10.068897,-8.675036,9.654218,7.603805,-0.19380087,-6.5203424,-4.106228,3.133317,1.5604559,-11.349318,5.8034706,-5.6225495,-1.5150133,7.222367,7.8031716,-2.516811,-2.3302462,-15.774749,-3.614435,0.7332134,22.396912,8.211316,11.712352,-7.1419253,0.58255696,2.620345,-12.7971945,7.6314163,-12.46328,0.4720205,-3.482564,19.626225,14.657106,15.695808,3.849623,3.4961812,-2.147957,6.0232935
NCI-H1650,-4.891141,5.3925138,6.936244,2.3387442,3.546228,-5.4682283,5.0475,-4.261557,2.33239,-2.3193989,-0.3715233,-8.962145,8.925531,-5.51246,7.763483,-4.785563,-5.1120377,-5.984364,-1.6384692,3.9586213,-1.4724282,-4.8049474,1.8991984,-5.5325947,-1.9383558,6.5862374,-0.9834185,-0.42583376,-6.9926114,-0.52403486,1.9713798,3.328021,-1.9510311,2.017878,-1.759256,-0.8632001,0.6694489,-3.2733855,-1.0721288,0.41086504,1.2908154,-2.7610571,7.9485736,1.7149664,10.161817,-0.87344295,0.30552357,-2.294062,2.439654,-7.941404,4.9659576,-0.71483034,-8.213746,-8.996541,-5.574292,8.439793,1.5450538,0.052003965,-4.100228,-5.7713695,0.26811898,0.24306595,3.3998609,2.9265084,-11.0289345,1.3175687,1.8640265,-3.1573558,1.1012335,-5.795729,-6.768069,2.7012234,-3.7719314,7.144885,-2.7893329,1.4678195,5.567499,7.6978145,-3.2565339,6.9706097,13.262939,-1.3533577,-1.7270186,10.91798,-3.8308463,11.411091,2.9485636,3.3484714,-7.129284,4.5029593,-1.8650732,-6.5229692,-6.0742702,-4.950743,2.77143,-4.87132,1.6122764,-5.970244,2.373446,-5.8103604,6.5862174,0.2059478,-2.415791,-6.812551,0.5863211,-1.561702,7.7064743,0.54980695,2.651956,-7.9195924,-1.6255398,-4.01436,-0.92920154,6.1274757,0.09450066,0.72378606,-9.347547,2.20286,-5.352436,0.36425894,-7.9482565,-6.841416,-12.487319,-0.3410011,0.09988859,-0.28108984,-0.78387904
DAN-G,5.6787033,-5.417387,-8.428656,-10.113964,-8.324603,3.7898257,-10.056736,5.5181823,-9.46949,8.083859,-0.4988824,10.879425,-14.654324,8.026593,-5.516185,3.4186318,5.8363547,12.428143,-8.150191,-1.9978004,14.195324,3.3454144,2.8890576,8.163577,-10.362604,-4.93934,-4.096848,-0.590735,10.78951,-1.4330232,-2.704738,-8.000662,6.864213,3.829163,7.2054563,-2.8336565,2.8552961,10.099741,3.9167526,-2.198023,-6.4814396,-3.8358123,-11.2270355,-4.0034966,-17.879486,2.2967603,-0.71964216,14.329852,-2.0522692,5.3268695,-8.534547,11.472805,5.113512,16.695732,15.232647,-15.794027,-5.2687397,5.1435065,10.5409,7.30036,-4.5353913,5.9683766,-4.893277,2.6554484,14.849897,-4.353093,-7.275285,-2.7020378,7.1593375,-5.558263,6.0532484,-9.52509,-4.249596,-12.433113,-6.11692,-0.9809785,-7.0950437,-3.7805376,3.2160614,-12.854425,-22.928057,1.0641377,-1.4785509,-7.2231,-2.7899075,-2.1669197,3.2534668,7.506421,6.0630355,-6.130289,-6.895012,8.332611,4.676526,-1.3282969,-4.5119925,-4.7597504,1.2948873,-0.5809254,-8.8328495,4.727064,-3.5519388,-2.5270603,4.512328,5.759996,-3.1342754,-0.2912915,-13.108763,-1.6810697,0.03218178,17.29365,7.0342994,8.772409,-6.0420537,1.6160092,3.2420592,-8.502639,5.459751,-9.069025,-0.2586972,-1.0681949,13.731779,12.461782,10.672939,1.267668,3.5626314,-0.82226306,5.31218
